start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.110000,0.150000,DH,DH,the,1.0,0,0,-1,DH,0,mfa_textgrid_phone
0.150000,0.220000,AH0,AH0,the,1.0,0,0,-1,AH0,1,mfa_textgrid_phone
0.220000,0.330000,R,R,roast,1.0,1,0,-1,R,0,mfa_textgrid_phone
0.330000,0.430000,OW1,OW1,roast,1.0,1,0,-1,OW1,1,mfa_textgrid_phone
0.430000,0.510000,S,S,roast,1.0,1,0,-1,S,2,mfa_textgrid_phone
0.510000,0.650000,T,T,roast,1.0,1,0,-1,T,3,mfa_textgrid_phone
0.650000,0.690000,B,B,beef,1.0,2,0,-1,B,0,mfa_textgrid_phone
0.690000,0.870000,IY1,IY1,beef,1.0,2,0,-1,IY1,1,mfa_textgrid_phone
0.870000,0.960000,F,F,beef,1.0,2,0,-1,F,2,mfa_textgrid_phone
0.960000,1.020000,IH1,IH1,is,1.0,3,0,-1,IH1,0,mfa_textgrid_phone
1.020000,1.100000,Z,Z,is,1.0,3,0,-1,Z,1,mfa_textgrid_phone
1.180000,1.360000,AO1,AO1,always,1.0,4,0,-1,AO1,0,mfa_textgrid_phone
1.360000,1.440000,L,L,always,1.0,4,0,-1,L,1,mfa_textgrid_phone
1.440000,1.510000,W,W,always,1.0,4,0,-1,W,2,mfa_textgrid_phone
1.510000,1.580000,IY0,IY0,always,1.0,4,0,-1,IY0,3,mfa_textgrid_phone
1.580000,1.650000,Z,Z,always,1.0,4,0,-1,Z,4,mfa_textgrid_phone
1.650000,1.740000,AH0,AH0,a,1.0,5,0,-1,AH0,0,mfa_textgrid_phone
1.740000,1.820000,HH,HH,hit,1.0,6,0,-1,HH,0,mfa_textgrid_phone
1.820000,1.950000,IH1,IH1,hit,1.0,6,0,-1,IH1,1,mfa_textgrid_phone
1.950000,2.090000,T,T,hit,1.0,6,0,-1,T,2,mfa_textgrid_phone
2.340000,2.510000,Y,Y,yum,1.0,7,1,-1,Y,0,mfa_textgrid_phone
2.510000,2.720000,AH1,AH1,yum,1.0,7,1,-1,AH1,1,mfa_textgrid_phone
2.720000,2.950000,M,M,yum,1.0,7,1,-1,M,2,mfa_textgrid_phone
