word_index,word,start,end,speech_region_index,sentence_index
0,red,0.140000,0.630000,0,-1
1,orange,0.710000,1.270000,0,-1
2,yellow,1.270000,1.750000,0,-1
3,green,1.750000,2.250000,0,-1
4,blue,2.250000,2.680000,0,-1
5,indigo,2.710000,3.200000,0,-1
6,violet,3.200000,3.690000,0,-1
7,though,3.920000,4.100000,1,-1
8,i,4.100000,4.230000,1,-1
9,think,4.230000,4.620000,1,-1
10,you,4.620000,4.720000,1,-1
11,might,4.720000,4.980000,1,-1
12,be,4.980000,5.120000,1,-1
13,daydreaming,5.120000,5.910000,1,-1
