start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.350000,0.470000,HH,how,1.0,0,0,0,-1,mfa_textgrid_phone
0.470000,0.610000,AW1,how,1.0,0,0,1,-1,mfa_textgrid_phone
0.610000,0.660000,AH0,about,1.0,1,0,0,-1,mfa_textgrid_phone
0.660000,0.700000,B,about,1.0,1,0,1,-1,mfa_textgrid_phone
0.700000,0.810000,AW1,about,1.0,1,0,2,-1,mfa_textgrid_phone
0.810000,0.860000,T,about,1.0,1,0,3,-1,mfa_textgrid_phone
0.860000,0.900000,DH,the,1.0,2,0,0,-1,mfa_textgrid_phone
0.900000,0.930000,AH0,the,1.0,2,0,1,-1,mfa_textgrid_phone
0.930000,1.040000,T,turkey,1.0,3,0,0,-1,mfa_textgrid_phone
1.040000,1.130000,ER1,turkey,1.0,3,0,1,-1,mfa_textgrid_phone
1.130000,1.220000,K,turkey,1.0,3,0,2,-1,mfa_textgrid_phone
1.220000,1.410000,IY0,turkey,1.0,3,0,3,-1,mfa_textgrid_phone
1.750000,1.820000,IH1,it's,1.0,4,1,0,-1,mfa_textgrid_phone
1.820000,1.870000,T,it's,1.0,4,1,1,-1,mfa_textgrid_phone
1.870000,1.900000,S,it's,1.0,4,1,2,-1,mfa_textgrid_phone
1.900000,2.040000,AO1,always,1.0,5,1,0,-1,mfa_textgrid_phone
2.040000,2.120000,L,always,1.0,5,1,1,-1,mfa_textgrid_phone
2.120000,2.190000,W,always,1.0,5,1,2,-1,mfa_textgrid_phone
2.190000,2.220000,IY0,always,1.0,5,1,3,-1,mfa_textgrid_phone
2.220000,2.290000,Z,always,1.0,5,1,4,-1,mfa_textgrid_phone
2.290000,2.340000,AH0,a,1.0,6,1,0,-1,mfa_textgrid_phone
2.340000,2.470000,K,crowd,1.0,7,1,0,-1,mfa_textgrid_phone
2.470000,2.520000,R,crowd,1.0,7,1,1,-1,mfa_textgrid_phone
2.520000,2.660000,AW1,crowd,1.0,7,1,2,-1,mfa_textgrid_phone
2.660000,2.750000,D,crowd,1.0,7,1,3,-1,mfa_textgrid_phone
2.750000,2.810000,P,crowd,1.0,7,1,4,-1,mfa_textgrid_phone
2.810000,2.860000,L,crowd,1.0,7,1,5,-1,mfa_textgrid_phone
2.860000,2.940000,IY1,crowd,1.0,7,1,6,-1,mfa_textgrid_phone
2.940000,3.030000,Z,crowd,1.0,7,1,7,-1,mfa_textgrid_phone
3.030000,3.250000,ER0,crowd,1.0,7,1,8,-1,mfa_textgrid_phone
