start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.110000,0.210000,B,B,both,1.0,0,0,-1,B,0,mfa_textgrid_phone
0.210000,0.340000,OW1,OW1,both,1.0,0,0,-1,OW1,1,mfa_textgrid_phone
0.340000,0.410000,TH,TH,both,1.0,0,0,-1,TH,2,mfa_textgrid_phone
0.410000,0.480000,ER0,ER0,are,1.0,1,0,-1,ER0,0,mfa_textgrid_phone
0.480000,0.570000,G,G,great,1.0,2,0,-1,G,0,mfa_textgrid_phone
0.570000,0.660000,R,R,great,1.0,2,0,-1,R,1,mfa_textgrid_phone
0.660000,0.790000,EY1,EY1,great,1.0,2,0,-1,EY1,2,mfa_textgrid_phone
0.790000,0.940000,T,T,great,1.0,2,0,-1,T,3,mfa_textgrid_phone
1.520000,1.560000,D,D,depends,1.0,3,1,-1,D,0,mfa_textgrid_phone
1.560000,1.600000,IH0,IH0,depends,1.0,3,1,-1,IH0,1,mfa_textgrid_phone
1.600000,1.700000,P,P,depends,1.0,3,1,-1,P,2,mfa_textgrid_phone
1.700000,1.800000,EH1,EH1,depends,1.0,3,1,-1,EH1,3,mfa_textgrid_phone
1.800000,1.840000,N,N,depends,1.0,3,1,-1,N,4,mfa_textgrid_phone
1.840000,1.880000,D,D,depends,1.0,3,1,-1,D,5,mfa_textgrid_phone
1.880000,1.920000,Z,Z,depends,1.0,3,1,-1,Z,6,mfa_textgrid_phone
1.920000,1.990000,AA1,AA1,on,1.0,4,1,-1,AA1,0,mfa_textgrid_phone
1.990000,2.050000,N,N,on,1.0,4,1,-1,N,1,mfa_textgrid_phone
2.050000,2.090000,Y,Y,your,1.0,5,1,-1,Y,0,mfa_textgrid_phone
2.090000,2.120000,UH1,UH1,your,1.0,5,1,-1,UH1,1,mfa_textgrid_phone
2.120000,2.150000,R,R,your,1.0,5,1,-1,R,2,mfa_textgrid_phone
2.150000,2.220000,M,M,mood,1.0,6,1,-1,M,0,mfa_textgrid_phone
2.220000,2.400000,UW1,UW1,mood,1.0,6,1,-1,UW1,1,mfa_textgrid_phone
2.400000,2.510000,D,D,mood,1.0,6,1,-1,D,2,mfa_textgrid_phone
