start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.290000,0.380000,T,T,turkey,1.0,0,0,-1,T,0,mfa_textgrid_phone
0.380000,0.530000,ER1,ER1,turkey,1.0,0,0,-1,ER1,1,mfa_textgrid_phone
0.530000,0.620000,K,K,turkey,1.0,0,0,-1,K,2,mfa_textgrid_phone
0.620000,0.860000,IY0,IY0,turkey,1.0,0,0,-1,IY0,3,mfa_textgrid_phone
1.070000,1.240000,L,L,lettuce,1.0,1,1,-1,L,0,mfa_textgrid_phone
1.240000,1.330000,EH1,EH1,lettuce,1.0,1,1,-1,EH1,1,mfa_textgrid_phone
1.330000,1.370000,T,T,lettuce,1.0,1,1,-1,T,2,mfa_textgrid_phone
1.370000,1.470000,AH0,AH0,lettuce,1.0,1,1,-1,AH0,3,mfa_textgrid_phone
1.470000,1.720000,S,S,lettuce,1.0,1,1,-1,S,4,mfa_textgrid_phone
1.870000,1.940000,T,T,tomato,1.0,2,2,-1,T,0,mfa_textgrid_phone
1.940000,1.990000,AH0,AH0,tomato,1.0,2,2,-1,AH0,1,mfa_textgrid_phone
1.990000,2.100000,M,M,tomato,1.0,2,2,-1,M,2,mfa_textgrid_phone
2.100000,2.240000,EY1,EY1,tomato,1.0,2,2,-1,EY1,3,mfa_textgrid_phone
2.240000,2.280000,T,T,tomato,1.0,2,2,-1,T,4,mfa_textgrid_phone
2.280000,2.470000,OW2,OW2,tomato,1.0,2,2,-1,OW2,5,mfa_textgrid_phone
2.550000,2.620000,AE1,AE1,and,1.0,3,2,-1,AE1,0,mfa_textgrid_phone
2.620000,2.660000,N,N,and,1.0,3,2,-1,N,1,mfa_textgrid_phone
2.660000,2.790000,D,D,and,1.0,3,2,-1,D,2,mfa_textgrid_phone
2.790000,2.820000,M,M,mayo,1.0,4,2,-1,M,0,mfa_textgrid_phone
2.820000,3.040000,EY1,EY1,mayo,1.0,4,2,-1,EY1,1,mfa_textgrid_phone
3.040000,3.280000,OW0,OW0,mayo,1.0,4,2,-1,OW0,2,mfa_textgrid_phone
3.570000,3.810000,S,S,simple,1.0,5,3,-1,S,0,mfa_textgrid_phone
3.810000,3.900000,IH1,IH1,simple,1.0,5,3,-1,IH1,1,mfa_textgrid_phone
3.900000,3.950000,M,M,simple,1.0,5,3,-1,M,2,mfa_textgrid_phone
3.950000,4.010000,P,P,simple,1.0,5,3,-1,P,3,mfa_textgrid_phone
4.010000,4.050000,AH0,AH0,simple,1.0,5,3,-1,AH0,4,mfa_textgrid_phone
4.050000,4.250000,L,L,simple,1.0,5,3,-1,L,5,mfa_textgrid_phone
4.280000,4.360000,AE1,AE1,and,1.0,6,3,-1,AE1,0,mfa_textgrid_phone
4.360000,4.420000,N,N,and,1.0,6,3,-1,N,1,mfa_textgrid_phone
4.420000,4.470000,D,D,and,1.0,6,3,-1,D,2,mfa_textgrid_phone
4.470000,4.560000,T,T,tasty,1.0,7,3,-1,T,0,mfa_textgrid_phone
4.560000,4.690000,EY1,EY1,tasty,1.0,7,3,-1,EY1,1,mfa_textgrid_phone
4.690000,4.770000,S,S,tasty,1.0,7,3,-1,S,2,mfa_textgrid_phone
4.770000,4.840000,T,T,tasty,1.0,7,3,-1,T,3,mfa_textgrid_phone
4.840000,5.050000,IY0,IY0,tasty,1.0,7,3,-1,IY0,4,mfa_textgrid_phone
