start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.120000,0.200000,T,T,turkey,1.0,0,0,-1,T,0,mfa_textgrid_phone
0.200000,0.300000,ER1,ER1,turkey,1.0,0,0,-1,ER1,1,mfa_textgrid_phone
0.300000,0.390000,K,K,turkey,1.0,0,0,-1,K,2,mfa_textgrid_phone
0.390000,0.570000,IY0,IY0,turkey,1.0,0,0,-1,IY0,3,mfa_textgrid_phone
0.600000,0.740000,L,L,lettuce,1.0,1,0,-1,L,0,mfa_textgrid_phone
0.740000,0.800000,EH1,EH1,lettuce,1.0,1,0,-1,EH1,1,mfa_textgrid_phone
0.800000,0.840000,T,T,lettuce,1.0,1,0,-1,T,2,mfa_textgrid_phone
0.840000,0.910000,AH0,AH0,lettuce,1.0,1,0,-1,AH0,3,mfa_textgrid_phone
0.910000,1.100000,S,S,lettuce,1.0,1,0,-1,S,4,mfa_textgrid_phone
1.220000,1.290000,T,T,tomato,1.0,2,0,-1,T,0,mfa_textgrid_phone
1.290000,1.320000,AH0,AH0,tomato,1.0,2,0,-1,AH0,1,mfa_textgrid_phone
1.320000,1.380000,M,M,tomato,1.0,2,0,-1,M,2,mfa_textgrid_phone
1.380000,1.470000,EY1,EY1,tomato,1.0,2,0,-1,EY1,3,mfa_textgrid_phone
1.470000,1.510000,T,T,tomato,1.0,2,0,-1,T,4,mfa_textgrid_phone
1.510000,1.690000,OW2,OW2,tomato,1.0,2,0,-1,OW2,5,mfa_textgrid_phone
1.870000,1.920000,AE1,AE1,and,1.0,3,1,-1,AE1,0,mfa_textgrid_phone
1.920000,1.960000,N,N,and,1.0,3,1,-1,N,1,mfa_textgrid_phone
1.960000,2.020000,D,D,and,1.0,3,1,-1,D,2,mfa_textgrid_phone
2.020000,2.060000,M,M,mayo,1.0,4,1,-1,M,0,mfa_textgrid_phone
2.060000,2.220000,EY1,EY1,mayo,1.0,4,1,-1,EY1,1,mfa_textgrid_phone
2.220000,2.350000,OW0,OW0,mayo,1.0,4,1,-1,OW0,2,mfa_textgrid_phone
2.380000,2.500000,Y,Y,yum,1.0,5,1,-1,Y,0,mfa_textgrid_phone
2.500000,2.620000,AH1,AH1,yum,1.0,5,1,-1,AH1,1,mfa_textgrid_phone
2.620000,2.770000,M,M,yum,1.0,5,1,-1,M,2,mfa_textgrid_phone
