word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,red,1,orange,",",",",region_break,1,comma_with_lull,0.660000,0.660000,0.660000,0.660000,0,1
1,orange,2,yellow,",",",",region_break,1,comma_with_lull,0.450000,0.450000,0.450000,0.450000,1,2
2,yellow,3,green,",",",",region_break,1,comma_with_lull,0.550000,0.550000,0.550000,0.550000,2,3
3,green,4,blue,",",",",region_break,1,comma_with_lull,0.820000,0.820000,0.820000,0.820000,3,4
4,blue,5,indigo,",",",",region_break,1,comma_with_lull,0.460000,0.460000,0.460000,0.460000,4,5
5,indigo,6,violet,",",",",soft_pause,0,none,0.050000,0.050000,0.050000,0.050000,5,5
6,violet,7,sing,.,.,region_break,1,hard_punctuation_with_lull,0.610000,0.610000,0.610000,0.610000,5,6
7,sing,8,it,,,none,0,none,0.000000,0.000000,0.000000,0.000000,6,6
8,it,9,with,,,none,0,none,0.000000,0.000000,0.000000,0.000000,6,6
9,with,10,me,,,none,0,none,0.000000,0.000000,0.000000,0.000000,6,6
