start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.180000,0.280000,HH,HH,ham,1.0,0,0,-1,HH,0,mfa_textgrid_phone
0.280000,0.560000,AE1,AE1,ham,1.0,0,0,-1,AE1,1,mfa_textgrid_phone
0.560000,0.710000,M,M,ham,1.0,0,0,-1,M,2,mfa_textgrid_phone
0.830000,0.980000,M,M,mayo,1.0,1,1,-1,M,0,mfa_textgrid_phone
0.980000,1.250000,EY1,EY1,mayo,1.0,1,1,-1,EY1,1,mfa_textgrid_phone
1.250000,1.470000,OW0,OW0,mayo,1.0,1,1,-1,OW0,2,mfa_textgrid_phone
1.470000,1.750000,L,L,lettuce,1.0,2,1,-1,L,0,mfa_textgrid_phone
1.750000,1.840000,EH1,EH1,lettuce,1.0,2,1,-1,EH1,1,mfa_textgrid_phone
1.840000,1.880000,T,T,lettuce,1.0,2,1,-1,T,2,mfa_textgrid_phone
1.880000,2.000000,AH0,AH0,lettuce,1.0,2,1,-1,AH0,3,mfa_textgrid_phone
2.000000,2.160000,S,S,lettuce,1.0,2,1,-1,S,4,mfa_textgrid_phone
2.240000,2.390000,AE1,AE1,and,1.0,3,1,-1,AE1,0,mfa_textgrid_phone
2.390000,2.430000,N,N,and,1.0,3,1,-1,N,1,mfa_textgrid_phone
2.430000,2.470000,D,D,and,1.0,3,1,-1,D,2,mfa_textgrid_phone
2.470000,2.520000,T,T,tomato,1.0,4,1,-1,T,0,mfa_textgrid_phone
2.520000,2.580000,AH0,AH0,tomato,1.0,4,1,-1,AH0,1,mfa_textgrid_phone
2.580000,2.660000,M,M,tomato,1.0,4,1,-1,M,2,mfa_textgrid_phone
2.660000,2.790000,EY1,EY1,tomato,1.0,4,1,-1,EY1,3,mfa_textgrid_phone
2.790000,2.830000,T,T,tomato,1.0,4,1,-1,T,4,mfa_textgrid_phone
2.830000,3.040000,OW2,OW2,tomato,1.0,4,1,-1,OW2,5,mfa_textgrid_phone
3.180000,3.430000,Y,Y,yum,1.0,5,2,-1,Y,0,mfa_textgrid_phone
3.430000,3.720000,AH1,AH1,yum,1.0,5,2,-1,AH1,1,mfa_textgrid_phone
3.720000,3.980000,M,M,yum,1.0,5,2,-1,M,2,mfa_textgrid_phone
