start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.030000,0.090000,HH,hello,1.0,0,0,0,-1,mfa_textgrid_phone
0.090000,0.160000,AH0,hello,1.0,0,0,1,-1,mfa_textgrid_phone
0.160000,0.240000,L,hello,1.0,0,0,2,-1,mfa_textgrid_phone
0.240000,0.390000,OW1,hello,1.0,0,0,3,-1,mfa_textgrid_phone
0.390000,0.470000,DH,there,1.0,1,0,0,-1,mfa_textgrid_phone
0.470000,0.620000,EH1,there,1.0,1,0,1,-1,mfa_textgrid_phone
0.620000,0.810000,R,there,1.0,1,0,2,-1,mfa_textgrid_phone
1.050000,1.090000,HH,what,1.0,2,1,0,-1,mfa_textgrid_phone
1.090000,1.210000,W,what,1.0,2,1,1,-1,mfa_textgrid_phone
1.210000,1.280000,AH1,what,1.0,2,1,2,-1,mfa_textgrid_phone
1.280000,1.330000,T,what,1.0,2,1,3,-1,mfa_textgrid_phone
1.330000,1.400000,K,can,1.0,3,1,0,-1,mfa_textgrid_phone
1.400000,1.450000,AE1,can,1.0,3,1,1,-1,mfa_textgrid_phone
1.450000,1.490000,N,can,1.0,3,1,2,-1,mfa_textgrid_phone
1.490000,1.600000,AY1,i,1.0,4,1,0,-1,mfa_textgrid_phone
1.600000,1.690000,G,get,1.0,5,1,0,-1,mfa_textgrid_phone
1.690000,1.760000,IH1,get,1.0,5,1,1,-1,mfa_textgrid_phone
1.760000,1.800000,T,get,1.0,5,1,2,-1,mfa_textgrid_phone
1.800000,1.880000,F,for,1.0,6,1,0,-1,mfa_textgrid_phone
1.880000,1.920000,ER0,for,1.0,6,1,1,-1,mfa_textgrid_phone
1.920000,2.040000,Y,you,1.0,7,1,0,-1,mfa_textgrid_phone
2.040000,2.100000,UW1,you,1.0,7,1,1,-1,mfa_textgrid_phone
2.100000,2.180000,T,today,1.0,8,1,0,-1,mfa_textgrid_phone
2.180000,2.230000,AH0,today,1.0,8,1,1,-1,mfa_textgrid_phone
2.230000,2.260000,D,today,1.0,8,1,2,-1,mfa_textgrid_phone
2.260000,2.580000,EY1,today,1.0,8,1,3,-1,mfa_textgrid_phone
