start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.000000,0.100000,DH,DH,the,1.0,0,0,-1,DH,0,mfa_textgrid_phone
0.100000,0.170000,AH0,AH0,the,1.0,0,0,-1,AH0,1,mfa_textgrid_phone
0.170000,0.420000,CH,CH,chips,1.0,1,0,-1,CH,0,mfa_textgrid_phone
0.420000,0.550000,IH1,IH1,chips,1.0,1,0,-1,IH1,1,mfa_textgrid_phone
0.550000,0.630000,P,P,chips,1.0,1,0,-1,P,2,mfa_textgrid_phone
0.630000,0.810000,S,S,chips,1.0,1,0,-1,S,3,mfa_textgrid_phone
1.290000,1.390000,DH,DH,they're,1.0,2,1,-1,DH,0,mfa_textgrid_phone
1.390000,1.450000,EH1,EH1,they're,1.0,2,1,-1,EH1,1,mfa_textgrid_phone
1.450000,1.510000,R,R,they're,1.0,2,1,-1,R,2,mfa_textgrid_phone
1.510000,1.660000,JH,JH,just,1.0,3,1,-1,JH,0,mfa_textgrid_phone
1.660000,1.740000,AH1,AH1,just,1.0,3,1,-1,AH1,1,mfa_textgrid_phone
1.740000,1.810000,S,S,just,1.0,3,1,-1,S,2,mfa_textgrid_phone
1.810000,1.870000,T,T,just,1.0,3,1,-1,T,3,mfa_textgrid_phone
1.870000,1.920000,AH0,AH0,a,1.0,4,1,-1,AH0,0,mfa_textgrid_phone
1.920000,2.160000,T,T,touch,1.0,5,1,-1,T,0,mfa_textgrid_phone
2.160000,2.250000,AH1,AH1,touch,1.0,5,1,-1,AH1,1,mfa_textgrid_phone
2.250000,2.370000,CH,CH,touch,1.0,5,1,-1,CH,2,mfa_textgrid_phone
2.370000,2.430000,AH0,AH0,of,1.0,6,1,-1,AH0,0,mfa_textgrid_phone
2.430000,2.490000,V,V,of,1.0,6,1,-1,V,1,mfa_textgrid_phone
2.490000,2.650000,HH,HH,heat,1.0,7,1,-1,HH,0,mfa_textgrid_phone
2.650000,2.800000,IY1,IY1,heat,1.0,7,1,-1,IY1,1,mfa_textgrid_phone
2.800000,2.980000,T,T,heat,1.0,7,1,-1,T,2,mfa_textgrid_phone
3.010000,3.110000,Y,Y,you,1.0,8,1,-1,Y,0,mfa_textgrid_phone
3.110000,3.150000,UW1,UW1,you,1.0,8,1,-1,UW1,1,mfa_textgrid_phone
3.150000,3.190000,N,N,know,1.0,9,1,-1,N,0,mfa_textgrid_phone
3.190000,3.420000,OW1,OW1,know,1.0,9,1,-1,OW1,1,mfa_textgrid_phone
3.800000,3.890000,F,F,for,1.0,10,2,-1,F,0,mfa_textgrid_phone
3.890000,3.930000,R,R,for,1.0,10,2,-1,R,1,mfa_textgrid_phone
3.930000,3.970000,ER0,ER0,for,1.0,10,2,-1,ER0,2,mfa_textgrid_phone
3.970000,4.020000,DH,DH,those,1.0,11,2,-1,DH,0,mfa_textgrid_phone
4.020000,4.160000,OW1,OW1,those,1.0,11,2,-1,OW1,1,mfa_textgrid_phone
4.160000,4.240000,Z,Z,those,1.0,11,2,-1,Z,2,mfa_textgrid_phone
4.240000,4.280000,HH,HH,who,1.0,12,2,-1,HH,0,mfa_textgrid_phone
4.280000,4.350000,UW1,UW1,who,1.0,12,2,-1,UW1,1,mfa_textgrid_phone
4.350000,4.440000,L,L,like,1.0,13,2,-1,L,0,mfa_textgrid_phone
4.440000,4.550000,AY1,AY1,like,1.0,13,2,-1,AY1,1,mfa_textgrid_phone
4.550000,4.630000,K,K,like,1.0,13,2,-1,K,2,mfa_textgrid_phone
4.630000,4.680000,AH0,AH0,a,1.0,14,2,-1,AH0,0,mfa_textgrid_phone
4.680000,4.820000,L,L,little,1.0,15,2,-1,L,0,mfa_textgrid_phone
4.820000,4.870000,IH1,IH1,little,1.0,15,2,-1,IH1,1,mfa_textgrid_phone
4.870000,4.900000,T,T,little,1.0,15,2,-1,T,2,mfa_textgrid_phone
4.900000,4.930000,AH0,AH0,little,1.0,15,2,-1,AH0,3,mfa_textgrid_phone
4.930000,4.980000,L,L,little,1.0,15,2,-1,L,4,mfa_textgrid_phone
4.980000,5.150000,K,K,kick,1.0,16,2,-1,K,0,mfa_textgrid_phone
5.150000,5.290000,IH1,IH1,kick,1.0,16,2,-1,IH1,1,mfa_textgrid_phone
5.290000,5.510000,K,K,kick,1.0,16,2,-1,K,2,mfa_textgrid_phone
