word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,we've,1,got,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,got,2,turkey,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,turkey,3,ham,",",",",none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
3,ham,4,and,",",",",none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
4,and,5,veggie,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
5,veggie,6,sandwiches,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
6,sandwiches,7,which,.,.,region_break,1,hard_punctuation_with_lull,0.200000,0.200000,0.200000,0.200000,0,1
7,which,8,one's,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
8,one's,9,calling,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
9,calling,10,to,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
10,to,11,you,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
