start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.530000,0.620000,N,N,nice,1.0,0,0,-1,N,0,mfa_textgrid_phone
0.620000,0.730000,AY1,AY1,nice,1.0,0,0,-1,AY1,1,mfa_textgrid_phone
0.730000,0.840000,S,S,nice,1.0,0,0,-1,S,2,mfa_textgrid_phone
0.840000,0.920000,T,T,to,1.0,1,0,-1,T,0,mfa_textgrid_phone
0.920000,0.950000,IH0,IH0,to,1.0,1,0,-1,IH0,1,mfa_textgrid_phone
0.950000,1.010000,M,M,meet,1.0,2,0,-1,M,0,mfa_textgrid_phone
1.010000,1.150000,IY1,IY1,meet,1.0,2,0,-1,IY1,1,mfa_textgrid_phone
1.150000,1.200000,Y,Y,you,1.0,3,0,-1,Y,0,mfa_textgrid_phone
1.200000,1.250000,UW1,UW1,you,1.0,3,0,-1,UW1,1,mfa_textgrid_phone
1.250000,1.380000,T,T,too,1.0,4,0,-1,T,0,mfa_textgrid_phone
1.380000,1.640000,UW1,UW1,too,1.0,4,0,-1,UW1,1,mfa_textgrid_phone
1.990000,2.110000,HH,HH,how,1.0,5,1,-1,HH,0,mfa_textgrid_phone
2.110000,2.200000,AW1,AW1,how,1.0,5,1,-1,AW1,1,mfa_textgrid_phone
2.200000,2.240000,AA1,AA1,are,1.0,6,1,-1,AA1,0,mfa_textgrid_phone
2.240000,2.300000,R,R,are,1.0,6,1,-1,R,1,mfa_textgrid_phone
2.300000,2.420000,Y,Y,you,1.0,7,1,-1,Y,0,mfa_textgrid_phone
2.420000,2.460000,UW1,UW1,you,1.0,7,1,-1,UW1,1,mfa_textgrid_phone
2.460000,2.560000,T,T,today,1.0,8,1,-1,T,0,mfa_textgrid_phone
2.560000,2.590000,AH0,AH0,today,1.0,8,1,-1,AH0,1,mfa_textgrid_phone
2.590000,2.620000,D,D,today,1.0,8,1,-1,D,2,mfa_textgrid_phone
2.620000,2.930000,EY1,EY1,today,1.0,8,1,-1,EY1,3,mfa_textgrid_phone
