start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.370000,0.500000,AY1,i've,1.0,0,0,0,-1,mfa_textgrid_phone
0.500000,0.570000,V,i've,1.0,0,0,1,-1,mfa_textgrid_phone
0.570000,0.610000,B,been,1.0,1,0,0,-1,mfa_textgrid_phone
0.610000,0.650000,IH1,been,1.0,1,0,1,-1,mfa_textgrid_phone
0.650000,0.720000,N,been,1.0,1,0,2,-1,mfa_textgrid_phone
0.720000,0.760000,D,developing,1.0,2,0,0,-1,mfa_textgrid_phone
0.760000,0.820000,IH0,developing,1.0,2,0,1,-1,mfa_textgrid_phone
0.820000,0.860000,V,developing,1.0,2,0,2,-1,mfa_textgrid_phone
0.860000,0.950000,EH1,developing,1.0,2,0,3,-1,mfa_textgrid_phone
0.950000,1.020000,L,developing,1.0,2,0,4,-1,mfa_textgrid_phone
1.020000,1.080000,AH0,developing,1.0,2,0,5,-1,mfa_textgrid_phone
1.080000,1.150000,P,developing,1.0,2,0,6,-1,mfa_textgrid_phone
1.150000,1.210000,IH0,developing,1.0,2,0,7,-1,mfa_textgrid_phone
1.210000,1.310000,NG,developing,1.0,2,0,8,-1,mfa_textgrid_phone
1.310000,1.410000,F,facial,1.0,3,0,0,-1,mfa_textgrid_phone
1.410000,1.500000,EY1,facial,1.0,3,0,1,-1,mfa_textgrid_phone
1.500000,1.600000,SH,facial,1.0,3,0,2,-1,mfa_textgrid_phone
1.600000,1.650000,AH0,facial,1.0,3,0,3,-1,mfa_textgrid_phone
1.650000,1.690000,L,facial,1.0,3,0,4,-1,mfa_textgrid_phone
1.690000,1.780000,AE2,animations,1.0,4,0,0,-1,mfa_textgrid_phone
1.780000,1.820000,N,animations,1.0,4,0,1,-1,mfa_textgrid_phone
1.820000,1.850000,AH0,animations,1.0,4,0,2,-1,mfa_textgrid_phone
1.850000,1.910000,M,animations,1.0,4,0,3,-1,mfa_textgrid_phone
1.910000,2.020000,EY1,animations,1.0,4,0,4,-1,mfa_textgrid_phone
2.020000,2.130000,SH,animations,1.0,4,0,5,-1,mfa_textgrid_phone
2.130000,2.200000,AH0,animations,1.0,4,0,6,-1,mfa_textgrid_phone
2.200000,2.300000,N,animations,1.0,4,0,7,-1,mfa_textgrid_phone
2.300000,2.360000,Z,animations,1.0,4,0,8,-1,mfa_textgrid_phone
2.360000,2.450000,F,for,1.0,5,0,0,-1,mfa_textgrid_phone
2.450000,2.480000,R,for,1.0,5,0,1,-1,mfa_textgrid_phone
2.480000,2.550000,ER0,for,1.0,5,0,2,-1,mfa_textgrid_phone
2.550000,2.620000,AA1,our,1.0,6,0,0,-1,mfa_textgrid_phone
2.620000,2.690000,R,our,1.0,6,0,1,-1,mfa_textgrid_phone
2.690000,2.820000,K,characters,1.0,7,0,0,-1,mfa_textgrid_phone
2.820000,2.870000,EH1,characters,1.0,7,0,1,-1,mfa_textgrid_phone
2.870000,2.940000,R,characters,1.0,7,0,2,-1,mfa_textgrid_phone
2.940000,3.000000,AH0,characters,1.0,7,0,3,-1,mfa_textgrid_phone
3.000000,3.060000,K,characters,1.0,7,0,4,-1,mfa_textgrid_phone
3.060000,3.100000,T,characters,1.0,7,0,5,-1,mfa_textgrid_phone
3.100000,3.320000,ER0,characters,1.0,7,0,6,-1,mfa_textgrid_phone
3.320000,3.460000,Z,characters,1.0,7,0,7,-1,mfa_textgrid_phone
