start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.370000,0.500000,AY1,AY1,i've,1.0,0,0,-1,AY1,0,mfa_textgrid_phone
0.500000,0.570000,V,V,i've,1.0,0,0,-1,V,1,mfa_textgrid_phone
0.570000,0.610000,B,B,been,1.0,1,0,-1,B,0,mfa_textgrid_phone
0.610000,0.650000,IH1,IH1,been,1.0,1,0,-1,IH1,1,mfa_textgrid_phone
0.650000,0.720000,N,N,been,1.0,1,0,-1,N,2,mfa_textgrid_phone
0.720000,0.760000,D,D,developing,1.0,2,0,-1,D,0,mfa_textgrid_phone
0.760000,0.820000,IH0,IH0,developing,1.0,2,0,-1,IH0,1,mfa_textgrid_phone
0.820000,0.860000,V,V,developing,1.0,2,0,-1,V,2,mfa_textgrid_phone
0.860000,0.950000,EH1,EH1,developing,1.0,2,0,-1,EH1,3,mfa_textgrid_phone
0.950000,1.020000,L,L,developing,1.0,2,0,-1,L,4,mfa_textgrid_phone
1.020000,1.080000,AH0,AH0,developing,1.0,2,0,-1,AH0,5,mfa_textgrid_phone
1.080000,1.150000,P,P,developing,1.0,2,0,-1,P,6,mfa_textgrid_phone
1.150000,1.210000,IH0,IH0,developing,1.0,2,0,-1,IH0,7,mfa_textgrid_phone
1.210000,1.310000,NG,NG,developing,1.0,2,0,-1,NG,8,mfa_textgrid_phone
1.310000,1.410000,F,F,facial,1.0,3,0,-1,F,0,mfa_textgrid_phone
1.410000,1.500000,EY1,EY1,facial,1.0,3,0,-1,EY1,1,mfa_textgrid_phone
1.500000,1.600000,SH,SH,facial,1.0,3,0,-1,SH,2,mfa_textgrid_phone
1.600000,1.650000,AH0,AH0,facial,1.0,3,0,-1,AH0,3,mfa_textgrid_phone
1.650000,1.690000,L,L,facial,1.0,3,0,-1,L,4,mfa_textgrid_phone
1.690000,1.780000,AE2,AE2,animations,1.0,4,0,-1,AE2,0,mfa_textgrid_phone
1.780000,1.820000,N,N,animations,1.0,4,0,-1,N,1,mfa_textgrid_phone
1.820000,1.850000,AH0,AH0,animations,1.0,4,0,-1,AH0,2,mfa_textgrid_phone
1.850000,1.910000,M,M,animations,1.0,4,0,-1,M,3,mfa_textgrid_phone
1.910000,2.020000,EY1,EY1,animations,1.0,4,0,-1,EY1,4,mfa_textgrid_phone
2.020000,2.130000,SH,SH,animations,1.0,4,0,-1,SH,5,mfa_textgrid_phone
2.130000,2.200000,AH0,AH0,animations,1.0,4,0,-1,AH0,6,mfa_textgrid_phone
2.200000,2.300000,N,N,animations,1.0,4,0,-1,N,7,mfa_textgrid_phone
2.300000,2.360000,Z,Z,animations,1.0,4,0,-1,Z,8,mfa_textgrid_phone
2.360000,2.450000,F,F,for,1.0,5,0,-1,F,0,mfa_textgrid_phone
2.450000,2.480000,R,R,for,1.0,5,0,-1,R,1,mfa_textgrid_phone
2.480000,2.550000,ER0,ER0,for,1.0,5,0,-1,ER0,2,mfa_textgrid_phone
2.550000,2.620000,AA1,AA1,our,1.0,6,0,-1,AA1,0,mfa_textgrid_phone
2.620000,2.690000,R,R,our,1.0,6,0,-1,R,1,mfa_textgrid_phone
2.690000,2.820000,K,K,characters,1.0,7,0,-1,K,0,mfa_textgrid_phone
2.820000,2.870000,EH1,EH1,characters,1.0,7,0,-1,EH1,1,mfa_textgrid_phone
2.870000,2.940000,R,R,characters,1.0,7,0,-1,R,2,mfa_textgrid_phone
2.940000,3.000000,AH0,AH0,characters,1.0,7,0,-1,AH0,3,mfa_textgrid_phone
3.000000,3.060000,K,K,characters,1.0,7,0,-1,K,4,mfa_textgrid_phone
3.060000,3.100000,T,T,characters,1.0,7,0,-1,T,5,mfa_textgrid_phone
3.100000,3.320000,ER0,ER0,characters,1.0,7,0,-1,ER0,6,mfa_textgrid_phone
3.320000,3.460000,Z,Z,characters,1.0,7,0,-1,Z,7,mfa_textgrid_phone
