word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,i've,1,been,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,been,2,working,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,working,3,on,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
3,on,4,improving,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
4,improving,5,our,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
5,our,6,facial,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
6,facial,7,animations,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
7,animations,8,for,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
8,for,9,better,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
9,better,10,realism,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
