start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.480000,0.670000,AY1,i,1.0,0,0,0,-1,mfa_textgrid_phone
0.670000,0.870000,S,see,1.0,1,0,0,-1,mfa_textgrid_phone
0.870000,1.270000,IY1,see,1.0,1,0,1,-1,mfa_textgrid_phone
1.980000,2.120000,S,so,1.0,2,1,0,-1,mfa_textgrid_phone
2.120000,2.170000,OW1,so,1.0,2,1,1,-1,mfa_textgrid_phone
2.170000,2.330000,Y,you,1.0,3,1,0,-1,mfa_textgrid_phone
2.330000,2.390000,UW1,you,1.0,3,1,1,-1,mfa_textgrid_phone
2.390000,2.470000,D,do,1.0,4,1,0,-1,mfa_textgrid_phone
2.470000,2.600000,UW1,do,1.0,4,1,1,-1,mfa_textgrid_phone
2.600000,2.830000,T,text,1.0,5,1,0,-1,mfa_textgrid_phone
2.830000,2.900000,EH1,text,1.0,5,1,1,-1,mfa_textgrid_phone
2.900000,3.000000,K,text,1.0,5,1,2,-1,mfa_textgrid_phone
3.000000,3.070000,S,text,1.0,5,1,3,-1,mfa_textgrid_phone
3.070000,3.120000,T,text,1.0,5,1,4,-1,mfa_textgrid_phone
3.120000,3.180000,AH0,alignment,1.0,6,1,0,-1,mfa_textgrid_phone
3.180000,3.260000,L,alignment,1.0,6,1,1,-1,mfa_textgrid_phone
3.260000,3.390000,AY1,alignment,1.0,6,1,2,-1,mfa_textgrid_phone
3.390000,3.480000,N,alignment,1.0,6,1,3,-1,mfa_textgrid_phone
3.480000,3.510000,M,alignment,1.0,6,1,4,-1,mfa_textgrid_phone
3.510000,3.570000,AH0,alignment,1.0,6,1,5,-1,mfa_textgrid_phone
3.570000,3.640000,N,alignment,1.0,6,1,6,-1,mfa_textgrid_phone
3.640000,3.710000,T,alignment,1.0,6,1,7,-1,mfa_textgrid_phone
3.710000,3.800000,F,for,1.0,7,1,0,-1,mfa_textgrid_phone
3.800000,3.850000,ER0,for,1.0,7,1,1,-1,mfa_textgrid_phone
3.850000,3.910000,DH,the,1.0,8,1,0,-1,mfa_textgrid_phone
3.910000,3.940000,AH0,the,1.0,8,1,1,-1,mfa_textgrid_phone
3.940000,4.020000,B,building,1.0,9,1,0,-1,mfa_textgrid_phone
4.020000,4.080000,IH1,building,1.0,9,1,1,-1,mfa_textgrid_phone
4.080000,4.170000,L,building,1.0,9,1,2,-1,mfa_textgrid_phone
4.170000,4.220000,D,building,1.0,9,1,3,-1,mfa_textgrid_phone
4.220000,4.320000,IH0,building,1.0,9,1,4,-1,mfa_textgrid_phone
4.320000,4.480000,NG,building,1.0,9,1,5,-1,mfa_textgrid_phone
5.170000,5.200000,DH,that's,1.0,10,2,0,-1,mfa_textgrid_phone
5.200000,5.350000,AE1,that's,1.0,10,2,1,-1,mfa_textgrid_phone
5.350000,5.420000,T,that's,1.0,10,2,2,-1,mfa_textgrid_phone
5.420000,5.480000,S,that's,1.0,10,2,3,-1,mfa_textgrid_phone
5.540000,5.610000,IH1,interesting,1.0,11,2,0,-1,mfa_textgrid_phone
5.610000,5.670000,N,interesting,1.0,11,2,1,-1,mfa_textgrid_phone
5.670000,5.750000,T,interesting,1.0,11,2,2,-1,mfa_textgrid_phone
5.750000,5.780000,R,interesting,1.0,11,2,3,-1,mfa_textgrid_phone
5.780000,5.810000,AH0,interesting,1.0,11,2,4,-1,mfa_textgrid_phone
5.810000,5.910000,S,interesting,1.0,11,2,5,-1,mfa_textgrid_phone
5.910000,5.970000,T,interesting,1.0,11,2,6,-1,mfa_textgrid_phone
5.970000,6.070000,IH0,interesting,1.0,11,2,7,-1,mfa_textgrid_phone
6.070000,6.210000,NG,interesting,1.0,11,2,8,-1,mfa_textgrid_phone
6.670000,6.850000,HH,how,1.0,12,3,0,-1,mfa_textgrid_phone
6.850000,6.960000,AW1,how,1.0,12,3,1,-1,mfa_textgrid_phone
6.960000,7.010000,D,does,1.0,13,3,0,-1,mfa_textgrid_phone
7.010000,7.070000,IH0,does,1.0,13,3,1,-1,mfa_textgrid_phone
7.070000,7.140000,Z,does,1.0,13,3,2,-1,mfa_textgrid_phone
7.140000,7.180000,DH,that,1.0,14,3,0,-1,mfa_textgrid_phone
7.180000,7.270000,AE1,that,1.0,14,3,1,-1,mfa_textgrid_phone
7.270000,7.350000,T,that,1.0,14,3,2,-1,mfa_textgrid_phone
7.350000,7.430000,W,work,1.0,15,3,0,-1,mfa_textgrid_phone
7.430000,7.560000,ER1,work,1.0,15,3,1,-1,mfa_textgrid_phone
7.560000,7.640000,K,work,1.0,15,3,2,-1,mfa_textgrid_phone
