word_index,word,start,end,speech_region_index,sentence_index
0,i,0.480000,0.670000,0,-1
1,see,0.670000,1.270000,0,-1
2,so,1.980000,2.170000,1,-1
3,you,2.170000,2.390000,1,-1
4,do,2.390000,2.600000,1,-1
5,text,2.600000,3.120000,1,-1
6,alignment,3.120000,3.710000,1,-1
7,for,3.710000,3.850000,1,-1
8,the,3.850000,3.940000,1,-1
9,building,3.940000,4.480000,1,-1
10,that's,5.170000,5.480000,2,-1
11,interesting,5.540000,6.210000,2,-1
12,how,6.670000,6.960000,3,-1
13,does,6.960000,7.140000,3,-1
14,that,7.140000,7.350000,3,-1
15,work,7.350000,7.640000,3,-1
