start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.420000,0.500000,HH,hello,1.0,0,0,0,-1,mfa_textgrid_phone
0.500000,0.550000,AH0,hello,1.0,0,0,1,-1,mfa_textgrid_phone
0.550000,0.650000,L,hello,1.0,0,0,2,-1,mfa_textgrid_phone
0.650000,1.150000,OW1,hello,1.0,0,0,3,-1,mfa_textgrid_phone
1.190000,1.340000,AY1,i'm,1.0,1,0,0,-1,mfa_textgrid_phone
1.340000,1.410000,M,i'm,1.0,1,0,1,-1,mfa_textgrid_phone
1.410000,1.530000,L,lana,1.0,2,0,0,-1,mfa_textgrid_phone
1.530000,1.690000,AE1,lana,1.0,2,0,1,-1,mfa_textgrid_phone
1.690000,1.740000,N,lana,1.0,2,0,2,-1,mfa_textgrid_phone
1.740000,2.070000,AH0,lana,1.0,2,0,3,-1,mfa_textgrid_phone
2.150000,2.230000,N,nice,1.0,3,0,0,-1,mfa_textgrid_phone
2.230000,2.350000,IY1,nice,1.0,3,0,1,-1,mfa_textgrid_phone
2.350000,2.440000,S,nice,1.0,3,0,2,-1,mfa_textgrid_phone
2.440000,2.520000,T,to,1.0,4,0,0,-1,mfa_textgrid_phone
2.520000,2.560000,IH0,to,1.0,4,0,1,-1,mfa_textgrid_phone
2.560000,2.660000,M,meet,1.0,5,0,0,-1,mfa_textgrid_phone
2.660000,2.950000,IY1,meet,1.0,5,0,1,-1,mfa_textgrid_phone
2.950000,2.980000,Y,you,1.0,6,0,0,-1,mfa_textgrid_phone
2.980000,3.180000,UW1,you,1.0,6,0,1,-1,mfa_textgrid_phone
