word_index,word,start,end,speech_region_index,sentence_index
0,i'm,0.550000,0.730000,0,-1
1,working,0.730000,1.090000,0,-1
2,on,1.090000,1.210000,0,-1
3,a,1.210000,1.280000,0,-1
4,lipsync,1.280000,1.780000,0,-1
5,system,1.780000,2.430000,0,-1
6,it,3.220000,3.380000,1,-1
7,turns,3.380000,3.770000,1,-1
8,text,3.770000,4.210000,1,-1
9,into,4.210000,4.570000,1,-1
10,animations,4.570000,5.270000,1,-1
11,that,5.270000,5.450000,1,-1
12,match,5.450000,5.870000,1,-1
13,the,5.870000,5.960000,1,-1
14,spoken,5.960000,6.440000,1,-1
15,words,6.440000,6.990000,1,-1
