start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.610000,0.670000,TH,TH,thanks,1.0,0,0,-1,TH,0,mfa_textgrid_phone
0.670000,0.780000,AE1,AE1,thanks,1.0,0,0,-1,AE1,1,mfa_textgrid_phone
0.780000,0.870000,NG,NG,thanks,1.0,0,0,-1,NG,2,mfa_textgrid_phone
0.870000,0.910000,K,K,thanks,1.0,0,0,-1,K,3,mfa_textgrid_phone
0.910000,1.120000,S,S,thanks,1.0,0,0,-1,S,4,mfa_textgrid_phone
1.600000,1.680000,IH1,IH1,it's,1.0,1,1,-1,IH1,0,mfa_textgrid_phone
1.680000,1.730000,T,T,it's,1.0,1,1,-1,T,1,mfa_textgrid_phone
1.730000,1.760000,S,S,it's,1.0,1,1,-1,S,2,mfa_textgrid_phone
1.760000,1.810000,AH0,AH0,a,1.0,2,1,-1,AH0,0,mfa_textgrid_phone
1.810000,2.010000,CH,CH,challenging,1.0,3,1,-1,CH,0,mfa_textgrid_phone
2.010000,2.110000,AE1,AE1,challenging,1.0,3,1,-1,AE1,1,mfa_textgrid_phone
2.110000,2.180000,L,L,challenging,1.0,3,1,-1,L,2,mfa_textgrid_phone
2.180000,2.250000,AH0,AH0,challenging,1.0,3,1,-1,AH0,3,mfa_textgrid_phone
2.250000,2.300000,N,N,challenging,1.0,3,1,-1,N,4,mfa_textgrid_phone
2.300000,2.360000,JH,JH,challenging,1.0,3,1,-1,JH,5,mfa_textgrid_phone
2.360000,2.480000,IH0,IH0,challenging,1.0,3,1,-1,IH0,6,mfa_textgrid_phone
2.480000,2.630000,NG,NG,challenging,1.0,3,1,-1,NG,7,mfa_textgrid_phone
2.630000,2.790000,B,B,but,1.0,4,1,-1,B,0,mfa_textgrid_phone
2.790000,2.850000,AH1,AH1,but,1.0,4,1,-1,AH1,1,mfa_textgrid_phone
2.850000,2.900000,T,T,but,1.0,4,1,-1,T,2,mfa_textgrid_phone
2.900000,2.970000,R,R,rewarding,1.0,5,1,-1,R,0,mfa_textgrid_phone
2.970000,3.040000,IH0,IH0,rewarding,1.0,5,1,-1,IH0,1,mfa_textgrid_phone
3.040000,3.170000,W,W,rewarding,1.0,5,1,-1,W,2,mfa_textgrid_phone
3.170000,3.240000,AO1,AO1,rewarding,1.0,5,1,-1,AO1,3,mfa_textgrid_phone
3.240000,3.320000,R,R,rewarding,1.0,5,1,-1,R,4,mfa_textgrid_phone
3.320000,3.350000,D,D,rewarding,1.0,5,1,-1,D,5,mfa_textgrid_phone
3.350000,3.420000,IH0,IH0,rewarding,1.0,5,1,-1,IH0,6,mfa_textgrid_phone
3.420000,3.530000,NG,NG,rewarding,1.0,5,1,-1,NG,7,mfa_textgrid_phone
3.530000,3.650000,P,P,project,1.0,6,1,-1,P,0,mfa_textgrid_phone
3.650000,3.690000,R,R,project,1.0,6,1,-1,R,1,mfa_textgrid_phone
3.690000,3.800000,AA1,AA1,project,1.0,6,1,-1,AA1,2,mfa_textgrid_phone
3.800000,3.880000,JH,JH,project,1.0,6,1,-1,JH,3,mfa_textgrid_phone
3.880000,4.000000,EH0,EH0,project,1.0,6,1,-1,EH0,4,mfa_textgrid_phone
4.000000,4.050000,K,K,project,1.0,6,1,-1,K,5,mfa_textgrid_phone
4.050000,4.190000,T,T,project,1.0,6,1,-1,T,6,mfa_textgrid_phone
