start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.430000,0.500000,HH,HH,hello,1.0,0,0,-1,HH,0,mfa_textgrid_phone
0.500000,0.560000,AH0,AH0,hello,1.0,0,0,-1,AH0,1,mfa_textgrid_phone
0.560000,0.640000,L,L,hello,1.0,0,0,-1,L,2,mfa_textgrid_phone
0.640000,1.040000,OW1,OW1,hello,1.0,0,0,-1,OW1,3,mfa_textgrid_phone
1.340000,1.480000,AY1,AY1,i'm,1.0,1,1,-1,AY1,0,mfa_textgrid_phone
1.480000,1.550000,M,M,i'm,1.0,1,1,-1,M,1,mfa_textgrid_phone
1.550000,1.660000,L,L,lana,1.0,2,1,-1,L,0,mfa_textgrid_phone
1.660000,1.790000,AE1,AE1,lana,1.0,2,1,-1,AE1,1,mfa_textgrid_phone
1.790000,1.840000,N,N,lana,1.0,2,1,-1,N,2,mfa_textgrid_phone
1.840000,2.140000,AH0,AH0,lana,1.0,2,1,-1,AH0,3,mfa_textgrid_phone
2.320000,2.430000,N,N,nice,1.0,3,2,-1,N,0,mfa_textgrid_phone
2.430000,2.560000,AY1,AY1,nice,1.0,3,2,-1,AY1,1,mfa_textgrid_phone
2.560000,2.700000,S,S,nice,1.0,3,2,-1,S,2,mfa_textgrid_phone
2.700000,2.780000,T,T,to,1.0,4,2,-1,T,0,mfa_textgrid_phone
2.780000,2.810000,IH0,IH0,to,1.0,4,2,-1,IH0,1,mfa_textgrid_phone
2.810000,2.900000,M,M,meet,1.0,5,2,-1,M,0,mfa_textgrid_phone
2.900000,3.020000,IY1,IY1,meet,1.0,5,2,-1,IY1,1,mfa_textgrid_phone
3.020000,3.060000,T,T,meet,1.0,5,2,-1,T,2,mfa_textgrid_phone
3.060000,3.190000,Y,Y,you,1.0,6,2,-1,Y,0,mfa_textgrid_phone
3.190000,3.420000,UW1,UW1,you,1.0,6,2,-1,UW1,1,mfa_textgrid_phone
