start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.610000,0.680000,HH,HH,hello,1.0,0,0,-1,HH,0,mfa_textgrid_phone
0.680000,0.740000,AH0,AH0,hello,1.0,0,0,-1,AH0,1,mfa_textgrid_phone
0.740000,0.810000,L,L,hello,1.0,0,0,-1,L,2,mfa_textgrid_phone
0.810000,1.170000,OW1,OW1,hello,1.0,0,0,-1,OW1,3,mfa_textgrid_phone
1.340000,1.450000,AY1,AY1,i'm,1.0,1,1,-1,AY1,0,mfa_textgrid_phone
1.450000,1.530000,M,M,i'm,1.0,1,1,-1,M,1,mfa_textgrid_phone
1.530000,1.620000,L,L,lana,1.0,2,1,-1,L,0,mfa_textgrid_phone
1.620000,1.750000,AE1,AE1,lana,1.0,2,1,-1,AE1,1,mfa_textgrid_phone
1.750000,1.810000,N,N,lana,1.0,2,1,-1,N,2,mfa_textgrid_phone
1.810000,2.060000,AH0,AH0,lana,1.0,2,1,-1,AH0,3,mfa_textgrid_phone
2.500000,2.590000,N,N,nice,1.0,3,2,-1,N,0,mfa_textgrid_phone
2.590000,2.690000,AY1,AY1,nice,1.0,3,2,-1,AY1,1,mfa_textgrid_phone
2.690000,2.820000,S,S,nice,1.0,3,2,-1,S,2,mfa_textgrid_phone
2.820000,2.890000,T,T,to,1.0,4,2,-1,T,0,mfa_textgrid_phone
2.890000,2.930000,IH0,IH0,to,1.0,4,2,-1,IH0,1,mfa_textgrid_phone
2.930000,3.010000,M,M,meet,1.0,5,2,-1,M,0,mfa_textgrid_phone
3.010000,3.130000,IY1,IY1,meet,1.0,5,2,-1,IY1,1,mfa_textgrid_phone
3.130000,3.160000,T,T,meet,1.0,5,2,-1,T,2,mfa_textgrid_phone
3.160000,3.280000,Y,Y,you,1.0,6,2,-1,Y,0,mfa_textgrid_phone
3.280000,3.420000,UW1,UW1,you,1.0,6,2,-1,UW1,1,mfa_textgrid_phone
