word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,the,1,neural,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,neural,2,matcher,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,matcher,3,aligns,,,none,0,none,0.030000,0.030000,0.000000,0.030000,0,0
3,aligns,4,the,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
4,the,5,animation,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
5,animation,6,with,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
6,with,7,the,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
7,the,8,spoken,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
8,spoken,9,words,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
9,words,10,ensuring,",",",",region_break,1,comma_with_lull,0.240000,0.240000,0.240000,0.240000,0,1
10,ensuring,11,the,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
11,the,12,lips,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
12,lips,13,move,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
13,move,14,in,,,none,0,none,0.060000,0.060000,0.000000,0.060000,1,1
14,in,15,sync,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
