start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.440000,0.530000,HH,HH,hello,1.0,0,0,-1,HH,0,mfa_textgrid_phone
0.530000,0.590000,AH0,AH0,hello,1.0,0,0,-1,AH0,1,mfa_textgrid_phone
0.590000,0.670000,L,L,hello,1.0,0,0,-1,L,2,mfa_textgrid_phone
0.670000,1.110000,OW1,OW1,hello,1.0,0,0,-1,OW1,3,mfa_textgrid_phone
1.150000,1.250000,AY1,AY1,i'm,1.0,1,0,-1,AY1,0,mfa_textgrid_phone
1.250000,1.330000,M,M,i'm,1.0,1,0,-1,M,1,mfa_textgrid_phone
1.330000,1.440000,L,L,lana,1.0,2,0,-1,L,0,mfa_textgrid_phone
1.440000,1.550000,AE1,AE1,lana,1.0,2,0,-1,AE1,1,mfa_textgrid_phone
1.550000,1.610000,N,N,lana,1.0,2,0,-1,N,2,mfa_textgrid_phone
1.610000,1.930000,AH0,AH0,lana,1.0,2,0,-1,AH0,3,mfa_textgrid_phone
1.980000,2.040000,N,N,nice,1.0,3,0,-1,N,0,mfa_textgrid_phone
2.040000,2.120000,AY1,AY1,nice,1.0,3,0,-1,AY1,1,mfa_textgrid_phone
2.120000,2.220000,S,S,nice,1.0,3,0,-1,S,2,mfa_textgrid_phone
2.220000,2.280000,T,T,to,1.0,4,0,-1,T,0,mfa_textgrid_phone
2.280000,2.310000,AH0,AH0,to,1.0,4,0,-1,AH0,1,mfa_textgrid_phone
2.310000,2.370000,M,M,meet,1.0,5,0,-1,M,0,mfa_textgrid_phone
2.370000,2.470000,IY1,IY1,meet,1.0,5,0,-1,IY1,1,mfa_textgrid_phone
2.470000,2.500000,T,T,meet,1.0,5,0,-1,T,2,mfa_textgrid_phone
2.500000,2.630000,Y,Y,you,1.0,6,0,-1,Y,0,mfa_textgrid_phone
2.630000,2.750000,UW1,UW1,you,1.0,6,0,-1,UW1,1,mfa_textgrid_phone
