word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,it,1,analyzes,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,analyzes,2,text,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,text,3,creates,",",",",region_break,1,comma_with_lull,0.200000,0.200000,0.200000,0.200000,0,1
3,creates,4,animations,,,none,0,none,0.030000,0.030000,0.000000,0.030000,1,1
4,animations,5,and,",",",",region_break,1,comma_with_lull,0.360000,0.360000,0.360000,0.360000,1,2
5,and,6,matches,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
6,matches,7,them,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
7,them,8,with,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
8,with,9,the,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
9,the,10,audio,,,none,0,none,0.050000,0.050000,0.000000,0.050000,2,2
10,audio,11,using,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
11,using,12,a,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
12,a,13,neural,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
13,neural,14,matcher,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
14,matcher,15,want,.,.,region_break,1,hard_punctuation_with_lull,0.720000,0.720000,0.720000,0.720000,2,3
15,want,16,to,,,none,0,none,0.000000,0.000000,0.000000,0.000000,3,3
16,to,17,see,,,none,0,none,0.000000,0.000000,0.000000,0.000000,3,3
