start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.530000,0.610000,IH1,it,1.0,0,0,0,-1,mfa_textgrid_phone
0.610000,0.730000,T,it,1.0,0,0,1,-1,mfa_textgrid_phone
0.730000,0.850000,AE1,analyzes,1.0,1,0,0,-1,mfa_textgrid_phone
0.850000,0.890000,N,analyzes,1.0,1,0,1,-1,mfa_textgrid_phone
0.890000,0.960000,AH0,analyzes,1.0,1,0,2,-1,mfa_textgrid_phone
0.960000,1.000000,L,analyzes,1.0,1,0,3,-1,mfa_textgrid_phone
1.000000,1.140000,AY2,analyzes,1.0,1,0,4,-1,mfa_textgrid_phone
1.140000,1.220000,Z,analyzes,1.0,1,0,5,-1,mfa_textgrid_phone
1.220000,1.270000,IH0,analyzes,1.0,1,0,6,-1,mfa_textgrid_phone
1.270000,1.380000,Z,analyzes,1.0,1,0,7,-1,mfa_textgrid_phone
1.380000,1.510000,T,text,1.0,2,0,0,-1,mfa_textgrid_phone
1.510000,1.630000,EH1,text,1.0,2,0,1,-1,mfa_textgrid_phone
1.630000,1.730000,K,text,1.0,2,0,2,-1,mfa_textgrid_phone
1.730000,1.880000,S,text,1.0,2,0,3,-1,mfa_textgrid_phone
1.880000,2.030000,T,text,1.0,2,0,4,-1,mfa_textgrid_phone
2.230000,2.350000,K,creates,1.0,3,1,0,-1,mfa_textgrid_phone
2.350000,2.400000,R,creates,1.0,3,1,1,-1,mfa_textgrid_phone
2.400000,2.470000,IY0,creates,1.0,3,1,2,-1,mfa_textgrid_phone
2.470000,2.590000,EY1,creates,1.0,3,1,3,-1,mfa_textgrid_phone
2.590000,2.640000,T,creates,1.0,3,1,4,-1,mfa_textgrid_phone
2.640000,2.670000,S,creates,1.0,3,1,5,-1,mfa_textgrid_phone
2.700000,2.820000,AE2,animations,1.0,4,1,0,-1,mfa_textgrid_phone
2.820000,2.860000,N,animations,1.0,4,1,1,-1,mfa_textgrid_phone
2.860000,2.900000,AH0,animations,1.0,4,1,2,-1,mfa_textgrid_phone
2.900000,2.960000,M,animations,1.0,4,1,3,-1,mfa_textgrid_phone
2.960000,3.070000,EY1,animations,1.0,4,1,4,-1,mfa_textgrid_phone
3.070000,3.190000,SH,animations,1.0,4,1,5,-1,mfa_textgrid_phone
3.190000,3.290000,AH0,animations,1.0,4,1,6,-1,mfa_textgrid_phone
3.290000,3.420000,N,animations,1.0,4,1,7,-1,mfa_textgrid_phone
3.420000,3.590000,Z,animations,1.0,4,1,8,-1,mfa_textgrid_phone
3.950000,4.010000,AE1,and,1.0,5,2,0,-1,mfa_textgrid_phone
4.010000,4.050000,N,and,1.0,5,2,1,-1,mfa_textgrid_phone
4.050000,4.150000,D,and,1.0,5,2,2,-1,mfa_textgrid_phone
4.150000,4.180000,M,matches,1.0,6,2,0,-1,mfa_textgrid_phone
4.180000,4.330000,AE1,matches,1.0,6,2,1,-1,mfa_textgrid_phone
4.330000,4.440000,CH,matches,1.0,6,2,2,-1,mfa_textgrid_phone
4.440000,4.490000,IH0,matches,1.0,6,2,3,-1,mfa_textgrid_phone
4.490000,4.580000,Z,matches,1.0,6,2,4,-1,mfa_textgrid_phone
4.580000,4.620000,DH,them,1.0,7,2,0,-1,mfa_textgrid_phone
4.620000,4.690000,EH1,them,1.0,7,2,1,-1,mfa_textgrid_phone
4.690000,4.770000,M,them,1.0,7,2,2,-1,mfa_textgrid_phone
4.770000,4.810000,W,with,1.0,8,2,0,-1,mfa_textgrid_phone
4.810000,4.850000,IH0,with,1.0,8,2,1,-1,mfa_textgrid_phone
4.850000,4.900000,DH,with,1.0,8,2,2,-1,mfa_textgrid_phone
4.900000,4.940000,DH,the,1.0,9,2,0,-1,mfa_textgrid_phone
4.940000,5.040000,IY0,the,1.0,9,2,1,-1,mfa_textgrid_phone
5.090000,5.240000,AA1,audio,1.0,10,2,0,-1,mfa_textgrid_phone
5.240000,5.280000,D,audio,1.0,10,2,1,-1,mfa_textgrid_phone
5.280000,5.410000,IY0,audio,1.0,10,2,2,-1,mfa_textgrid_phone
5.410000,5.540000,OW2,audio,1.0,10,2,3,-1,mfa_textgrid_phone
5.540000,5.720000,Y,using,1.0,11,2,0,-1,mfa_textgrid_phone
5.720000,5.770000,UW1,using,1.0,11,2,1,-1,mfa_textgrid_phone
5.770000,5.840000,Z,using,1.0,11,2,2,-1,mfa_textgrid_phone
5.840000,5.890000,IH0,using,1.0,11,2,3,-1,mfa_textgrid_phone
5.890000,5.960000,NG,using,1.0,11,2,4,-1,mfa_textgrid_phone
5.960000,6.000000,AH0,a,1.0,12,2,0,-1,mfa_textgrid_phone
6.000000,6.130000,N,neural,1.0,13,2,0,-1,mfa_textgrid_phone
6.130000,6.160000,UH1,neural,1.0,13,2,1,-1,mfa_textgrid_phone
6.160000,6.220000,R,neural,1.0,13,2,2,-1,mfa_textgrid_phone
6.220000,6.300000,AH0,neural,1.0,13,2,3,-1,mfa_textgrid_phone
6.300000,6.350000,L,neural,1.0,13,2,4,-1,mfa_textgrid_phone
6.350000,6.410000,M,matcher,1.0,14,2,0,-1,mfa_textgrid_phone
6.410000,6.530000,AE1,matcher,1.0,14,2,1,-1,mfa_textgrid_phone
6.530000,6.590000,T,matcher,1.0,14,2,2,-1,mfa_textgrid_phone
6.590000,6.660000,SH,matcher,1.0,14,2,3,-1,mfa_textgrid_phone
6.660000,6.690000,EH1,matcher,1.0,14,2,4,-1,mfa_textgrid_phone
6.690000,6.890000,R,matcher,1.0,14,2,5,-1,mfa_textgrid_phone
7.610000,7.690000,W,want,1.0,15,3,0,-1,mfa_textgrid_phone
7.690000,7.770000,AA1,want,1.0,15,3,1,-1,mfa_textgrid_phone
7.770000,7.840000,N,want,1.0,15,3,2,-1,mfa_textgrid_phone
7.840000,7.870000,T,want,1.0,15,3,3,-1,mfa_textgrid_phone
7.870000,7.910000,T,to,1.0,16,3,0,-1,mfa_textgrid_phone
7.910000,7.960000,IH0,to,1.0,16,3,1,-1,mfa_textgrid_phone
7.960000,8.090000,S,see,1.0,17,3,0,-1,mfa_textgrid_phone
8.090000,8.330000,IY1,see,1.0,17,3,1,-1,mfa_textgrid_phone
