word_index,word,start,end,speech_region_index,sentence_index
0,it,0.420000,0.620000,0,-1
1,matches,0.620000,1.200000,0,-1
2,animations,1.280000,2.050000,0,-1
3,to,2.050000,2.180000,0,-1
4,the,2.180000,2.340000,0,-1
5,audio,2.400000,3.050000,0,-1
6,ensuring,3.600000,4.180000,1,-1
7,the,4.180000,4.270000,1,-1
8,lip,4.270000,4.570000,1,-1
9,movements,4.570000,5.150000,1,-1
10,sync,5.200000,5.630000,1,-1
11,up,5.720000,5.960000,1,-1
12,with,6.000000,6.190000,1,-1
13,the,6.190000,6.280000,1,-1
14,words,6.280000,6.776875,1,-1
