word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,i've,1,been,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,been,2,working,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,working,3,on,,,none,0,none,0.070000,0.070000,0.000000,0.070000,0,0
3,on,4,a,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
4,a,5,lipsync,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
5,lipsync,6,system,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
6,system,7,that,,,none,0,none,0.030000,0.030000,0.000000,0.030000,0,0
7,that,8,turns,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
8,turns,9,text,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
9,text,10,into,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
10,into,11,animations,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
