word_index,word,start,end,speech_region_index,sentence_index
0,it,0.280000,0.470000,0,-1
1,analyzes,0.470000,1.150000,0,-1
2,text,1.150000,1.700000,0,-1
3,creates,1.920000,2.320000,1,-1
4,an,2.320000,2.450000,1,-1
5,animation,2.510000,3.140000,1,-1
6,plan,3.140000,3.680000,1,-1
7,and,3.710000,3.890000,1,-1
8,matches,3.890000,4.320000,1,-1
9,it,4.320000,4.470000,1,-1
10,with,4.470000,4.640000,1,-1
11,the,4.640000,4.790000,1,-1
12,audio,4.830000,5.300000,1,-1
13,using,5.300000,5.800000,1,-1
14,a,5.800000,5.840000,1,-1
15,neural,5.840000,6.170000,1,-1
16,matcher,6.170000,6.700000,1,-1
