start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.650000,0.710000,HH,hello,1.0,0,0,0,-1,mfa_textgrid_phone
0.710000,0.770000,AH0,hello,1.0,0,0,1,-1,mfa_textgrid_phone
0.770000,0.850000,L,hello,1.0,0,0,2,-1,mfa_textgrid_phone
0.850000,1.150000,OW1,hello,1.0,0,0,3,-1,mfa_textgrid_phone
1.200000,1.300000,AY1,i'm,1.0,1,0,0,-1,mfa_textgrid_phone
1.300000,1.390000,M,i'm,1.0,1,0,1,-1,mfa_textgrid_phone
1.390000,1.500000,L,lana,1.0,2,0,0,-1,mfa_textgrid_phone
1.500000,1.630000,AE1,lana,1.0,2,0,1,-1,mfa_textgrid_phone
1.630000,1.680000,N,lana,1.0,2,0,2,-1,mfa_textgrid_phone
1.680000,1.970000,AH0,lana,1.0,2,0,3,-1,mfa_textgrid_phone
2.060000,2.160000,N,nice,1.0,3,1,0,-1,mfa_textgrid_phone
2.160000,2.250000,AY1,nice,1.0,3,1,1,-1,mfa_textgrid_phone
2.250000,2.360000,S,nice,1.0,3,1,2,-1,mfa_textgrid_phone
2.360000,2.440000,T,to,1.0,4,1,0,-1,mfa_textgrid_phone
2.440000,2.470000,IH0,to,1.0,4,1,1,-1,mfa_textgrid_phone
2.470000,2.550000,M,meet,1.0,5,1,0,-1,mfa_textgrid_phone
2.550000,2.680000,IY1,meet,1.0,5,1,1,-1,mfa_textgrid_phone
2.680000,2.730000,T,meet,1.0,5,1,2,-1,mfa_textgrid_phone
2.730000,2.840000,Y,you,1.0,6,1,0,-1,mfa_textgrid_phone
2.840000,2.910000,UW1,you,1.0,6,1,1,-1,mfa_textgrid_phone
