start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.440000,0.880000,HH,hello,1.0,0,0,0,-1,mfa_textgrid_phone
0.880000,0.910000,AH0,hello,1.0,0,0,1,-1,mfa_textgrid_phone
0.910000,1.000000,L,hello,1.0,0,0,2,-1,mfa_textgrid_phone
1.000000,1.080000,OW1,hello,1.0,0,0,3,-1,mfa_textgrid_phone
1.240000,1.390000,AY1,i'm,1.0,1,1,0,-1,mfa_textgrid_phone
1.390000,1.470000,M,i'm,1.0,1,1,1,-1,mfa_textgrid_phone
1.470000,1.560000,L,lana,1.0,2,1,0,-1,mfa_textgrid_phone
1.560000,1.680000,AE1,lana,1.0,2,1,1,-1,mfa_textgrid_phone
1.680000,1.750000,N,lana,1.0,2,1,2,-1,mfa_textgrid_phone
1.750000,2.020000,AH0,lana,1.0,2,1,3,-1,mfa_textgrid_phone
2.190000,2.270000,N,nice,1.0,3,2,0,-1,mfa_textgrid_phone
2.270000,2.380000,AY1,nice,1.0,3,2,1,-1,mfa_textgrid_phone
2.380000,2.510000,S,nice,1.0,3,2,2,-1,mfa_textgrid_phone
2.510000,2.590000,T,to,1.0,4,2,0,-1,mfa_textgrid_phone
2.590000,2.630000,AH0,to,1.0,4,2,1,-1,mfa_textgrid_phone
2.630000,2.710000,M,meet,1.0,5,2,0,-1,mfa_textgrid_phone
2.710000,2.850000,IY1,meet,1.0,5,2,1,-1,mfa_textgrid_phone
2.850000,2.900000,T,meet,1.0,5,2,2,-1,mfa_textgrid_phone
2.900000,3.030000,Y,you,1.0,6,2,0,-1,mfa_textgrid_phone
3.030000,3.256875,UW1,you,1.0,6,2,1,-1,mfa_textgrid_phone
