start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.440000,0.880000,HH,HH,hello,1.0,0,0,-1,HH,0,mfa_textgrid_phone
0.880000,0.910000,AH0,AH0,hello,1.0,0,0,-1,AH0,1,mfa_textgrid_phone
0.910000,1.000000,L,L,hello,1.0,0,0,-1,L,2,mfa_textgrid_phone
1.000000,1.080000,OW1,OW1,hello,1.0,0,0,-1,OW1,3,mfa_textgrid_phone
1.240000,1.390000,AY1,AY1,i'm,1.0,1,1,-1,AY1,0,mfa_textgrid_phone
1.390000,1.470000,M,M,i'm,1.0,1,1,-1,M,1,mfa_textgrid_phone
1.470000,1.560000,L,L,lana,1.0,2,1,-1,L,0,mfa_textgrid_phone
1.560000,1.680000,AE1,AE1,lana,1.0,2,1,-1,AE1,1,mfa_textgrid_phone
1.680000,1.750000,N,N,lana,1.0,2,1,-1,N,2,mfa_textgrid_phone
1.750000,2.020000,AH0,AH0,lana,1.0,2,1,-1,AH0,3,mfa_textgrid_phone
2.190000,2.270000,N,N,nice,1.0,3,2,-1,N,0,mfa_textgrid_phone
2.270000,2.380000,AY1,AY1,nice,1.0,3,2,-1,AY1,1,mfa_textgrid_phone
2.380000,2.510000,S,S,nice,1.0,3,2,-1,S,2,mfa_textgrid_phone
2.510000,2.590000,T,T,to,1.0,4,2,-1,T,0,mfa_textgrid_phone
2.590000,2.630000,AH0,AH0,to,1.0,4,2,-1,AH0,1,mfa_textgrid_phone
2.630000,2.710000,M,M,meet,1.0,5,2,-1,M,0,mfa_textgrid_phone
2.710000,2.850000,IY1,IY1,meet,1.0,5,2,-1,IY1,1,mfa_textgrid_phone
2.850000,2.900000,T,T,meet,1.0,5,2,-1,T,2,mfa_textgrid_phone
2.900000,3.030000,Y,Y,you,1.0,6,2,-1,Y,0,mfa_textgrid_phone
3.030000,3.256875,UW1,UW1,you,1.0,6,2,-1,UW1,1,mfa_textgrid_phone
