start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.400000,0.490000,HH,hello,1.0,0,0,0,-1,mfa_textgrid_phone
0.490000,0.550000,AH0,hello,1.0,0,0,1,-1,mfa_textgrid_phone
0.550000,0.630000,L,hello,1.0,0,0,2,-1,mfa_textgrid_phone
0.630000,0.920000,OW1,hello,1.0,0,0,3,-1,mfa_textgrid_phone
0.990000,1.150000,AY1,i'm,1.0,1,0,0,-1,mfa_textgrid_phone
1.150000,1.200000,M,i'm,1.0,1,0,1,-1,mfa_textgrid_phone
1.200000,1.320000,L,lana,1.0,2,0,0,-1,mfa_textgrid_phone
1.320000,1.430000,AE1,lana,1.0,2,0,1,-1,mfa_textgrid_phone
1.430000,1.480000,N,lana,1.0,2,0,2,-1,mfa_textgrid_phone
1.480000,1.750000,AH0,lana,1.0,2,0,3,-1,mfa_textgrid_phone
1.790000,1.890000,N,nice,1.0,3,0,0,-1,mfa_textgrid_phone
1.890000,2.000000,AY1,nice,1.0,3,0,1,-1,mfa_textgrid_phone
2.000000,2.130000,S,nice,1.0,3,0,2,-1,mfa_textgrid_phone
2.130000,2.190000,T,to,1.0,4,0,0,-1,mfa_textgrid_phone
2.190000,2.220000,AH0,to,1.0,4,0,1,-1,mfa_textgrid_phone
2.220000,2.290000,M,meet,1.0,5,0,0,-1,mfa_textgrid_phone
2.290000,2.410000,IY1,meet,1.0,5,0,1,-1,mfa_textgrid_phone
2.410000,2.440000,T,meet,1.0,5,0,2,-1,mfa_textgrid_phone
2.440000,2.570000,Y,you,1.0,6,0,0,-1,mfa_textgrid_phone
2.570000,2.700000,UW1,you,1.0,6,0,1,-1,mfa_textgrid_phone
