word_index,word,start,end,speech_region_index,sentence_index
0,we,0.420000,0.520000,0,-1
1,use,0.520000,0.760000,0,-1
2,a,0.760000,0.810000,0,-1
3,neural,0.810000,1.150000,0,-1
4,matcher,1.150000,1.690000,0,-1
5,to,1.690000,1.900000,0,-1
6,align,1.900000,2.290000,0,-1
7,the,2.290000,2.360000,0,-1
8,timing,2.360000,2.850000,0,-1
9,of,2.850000,2.930000,0,-1
10,the,2.930000,3.090000,0,-1
11,animation,3.090000,3.710000,0,-1
12,with,3.710000,3.880000,0,-1
13,the,3.880000,4.010000,0,-1
14,audio,4.010000,4.570000,0,-1
