start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.420000,0.510000,HH,HH,hello,1.0,0,0,-1,HH,0,mfa_textgrid_phone
0.510000,0.590000,AH0,AH0,hello,1.0,0,0,-1,AH0,1,mfa_textgrid_phone
0.590000,0.670000,L,L,hello,1.0,0,0,-1,L,2,mfa_textgrid_phone
0.670000,1.260000,OW1,OW1,hello,1.0,0,0,-1,OW1,3,mfa_textgrid_phone
1.320000,1.470000,AY1,AY1,i'm,1.0,1,0,-1,AY1,0,mfa_textgrid_phone
1.470000,1.550000,M,M,i'm,1.0,1,0,-1,M,1,mfa_textgrid_phone
1.550000,1.650000,L,L,lana,1.0,2,0,-1,L,0,mfa_textgrid_phone
1.650000,1.770000,AE1,AE1,lana,1.0,2,0,-1,AE1,1,mfa_textgrid_phone
1.770000,1.830000,N,N,lana,1.0,2,0,-1,N,2,mfa_textgrid_phone
1.830000,2.110000,AH0,AH0,lana,1.0,2,0,-1,AH0,3,mfa_textgrid_phone
2.410000,2.480000,N,N,nice,1.0,3,1,-1,N,0,mfa_textgrid_phone
2.480000,2.570000,AY1,AY1,nice,1.0,3,1,-1,AY1,1,mfa_textgrid_phone
2.570000,2.690000,S,S,nice,1.0,3,1,-1,S,2,mfa_textgrid_phone
2.690000,2.760000,T,T,to,1.0,4,1,-1,T,0,mfa_textgrid_phone
2.760000,2.790000,IH0,IH0,to,1.0,4,1,-1,IH0,1,mfa_textgrid_phone
2.790000,2.850000,M,M,meet,1.0,5,1,-1,M,0,mfa_textgrid_phone
2.850000,2.960000,IY1,IY1,meet,1.0,5,1,-1,IY1,1,mfa_textgrid_phone
2.960000,2.990000,T,T,meet,1.0,5,1,-1,T,2,mfa_textgrid_phone
2.990000,3.100000,Y,Y,you,1.0,6,1,-1,Y,0,mfa_textgrid_phone
3.100000,3.220000,UW1,UW1,you,1.0,6,1,-1,UW1,1,mfa_textgrid_phone
