start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.290000,0.360000,HH,hello,1.0,0,0,0,-1,mfa_textgrid_phone
0.360000,0.410000,AH0,hello,1.0,0,0,1,-1,mfa_textgrid_phone
0.410000,0.480000,L,hello,1.0,0,0,2,-1,mfa_textgrid_phone
0.480000,0.770000,OW1,hello,1.0,0,0,3,-1,mfa_textgrid_phone
0.880000,1.090000,AY1,i'm,1.0,1,0,0,-1,mfa_textgrid_phone
1.090000,1.150000,M,i'm,1.0,1,0,1,-1,mfa_textgrid_phone
1.150000,1.280000,L,lana,1.0,2,0,0,-1,mfa_textgrid_phone
1.280000,1.390000,AE1,lana,1.0,2,0,1,-1,mfa_textgrid_phone
1.390000,1.450000,N,lana,1.0,2,0,2,-1,mfa_textgrid_phone
1.450000,1.700000,AH0,lana,1.0,2,0,3,-1,mfa_textgrid_phone
1.890000,2.000000,N,nice,1.0,3,1,0,-1,mfa_textgrid_phone
2.000000,2.110000,AY1,nice,1.0,3,1,1,-1,mfa_textgrid_phone
2.110000,2.230000,S,nice,1.0,3,1,2,-1,mfa_textgrid_phone
2.230000,2.300000,T,to,1.0,4,1,0,-1,mfa_textgrid_phone
2.300000,2.340000,AH0,to,1.0,4,1,1,-1,mfa_textgrid_phone
2.340000,2.420000,M,meet,1.0,5,1,0,-1,mfa_textgrid_phone
2.420000,2.540000,IY1,meet,1.0,5,1,1,-1,mfa_textgrid_phone
2.540000,2.580000,T,meet,1.0,5,1,2,-1,mfa_textgrid_phone
2.580000,2.710000,Y,you,1.0,6,1,0,-1,mfa_textgrid_phone
2.710000,2.860000,UW1,you,1.0,6,1,1,-1,mfa_textgrid_phone
