word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,i've,1,been,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,been,2,developing,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,developing,3,a,,,none,0,none,0.140000,0.140000,0.140000,0.140000,0,0
3,a,4,lipsync,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
4,lipsync,5,system,,,none,0,none,0.030000,0.030000,0.030000,0.030000,0,0
5,system,6,it,.,.,region_break,1,hard_punctuation_with_lull,0.640000,0.640000,0.640000,0.640000,0,1
6,it,7,turns,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
7,turns,8,text,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
8,text,9,into,,,none,0,none,0.060000,0.060000,0.000000,0.060000,1,1
9,into,10,animations,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
10,animations,11,that,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
11,that,12,match,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
12,match,13,the,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
13,the,14,spoken,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
14,spoken,15,words,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
