start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.660000,0.880000,AY1,AY1,i've,1.0,0,0,-1,AY1,0,mfa_textgrid_phone
0.880000,0.990000,V,V,i've,1.0,0,0,-1,V,1,mfa_textgrid_phone
0.990000,1.040000,B,B,been,1.0,1,0,-1,B,0,mfa_textgrid_phone
1.040000,1.120000,IH1,IH1,been,1.0,1,0,-1,IH1,1,mfa_textgrid_phone
1.120000,1.210000,N,N,been,1.0,1,0,-1,N,2,mfa_textgrid_phone
1.210000,1.260000,D,D,developing,1.0,2,0,-1,D,0,mfa_textgrid_phone
1.260000,1.320000,IH0,IH0,developing,1.0,2,0,-1,IH0,1,mfa_textgrid_phone
1.320000,1.410000,V,V,developing,1.0,2,0,-1,V,2,mfa_textgrid_phone
1.410000,1.490000,EH1,EH1,developing,1.0,2,0,-1,EH1,3,mfa_textgrid_phone
1.490000,1.580000,L,L,developing,1.0,2,0,-1,L,4,mfa_textgrid_phone
1.580000,1.640000,AH0,AH0,developing,1.0,2,0,-1,AH0,5,mfa_textgrid_phone
1.640000,1.730000,P,P,developing,1.0,2,0,-1,P,6,mfa_textgrid_phone
1.730000,1.850000,IH0,IH0,developing,1.0,2,0,-1,IH0,7,mfa_textgrid_phone
1.850000,1.990000,NG,NG,developing,1.0,2,0,-1,NG,8,mfa_textgrid_phone
2.130000,2.220000,AH0,AH0,a,1.0,3,0,-1,AH0,0,mfa_textgrid_phone
2.220000,2.360000,L,L,lipsync,1.0,4,0,-1,L,0,mfa_textgrid_phone
2.360000,2.430000,IH1,IH1,lipsync,1.0,4,0,-1,IH1,1,mfa_textgrid_phone
2.430000,2.540000,P,P,lipsync,1.0,4,0,-1,P,2,mfa_textgrid_phone
2.540000,2.680000,S,S,lipsync,1.0,4,0,-1,S,3,mfa_textgrid_phone
2.680000,2.760000,IH1,IH1,lipsync,1.0,4,0,-1,IH1,4,mfa_textgrid_phone
2.760000,2.840000,NG,NG,lipsync,1.0,4,0,-1,NG,5,mfa_textgrid_phone
2.840000,2.910000,K,K,lipsync,1.0,4,0,-1,K,6,mfa_textgrid_phone
2.940000,3.150000,S,S,system,1.0,5,0,-1,S,0,mfa_textgrid_phone
3.150000,3.210000,IH1,IH1,system,1.0,5,0,-1,IH1,1,mfa_textgrid_phone
3.210000,3.340000,S,S,system,1.0,5,0,-1,S,2,mfa_textgrid_phone
3.340000,3.390000,T,T,system,1.0,5,0,-1,T,3,mfa_textgrid_phone
3.390000,3.490000,AH0,AH0,system,1.0,5,0,-1,AH0,4,mfa_textgrid_phone
3.490000,3.800000,M,M,system,1.0,5,0,-1,M,5,mfa_textgrid_phone
4.440000,4.530000,IH1,IH1,it,1.0,6,1,-1,IH1,0,mfa_textgrid_phone
4.530000,4.630000,T,T,it,1.0,6,1,-1,T,1,mfa_textgrid_phone
4.630000,4.750000,T,T,turns,1.0,7,1,-1,T,0,mfa_textgrid_phone
4.750000,4.890000,ER1,ER1,turns,1.0,7,1,-1,ER1,1,mfa_textgrid_phone
4.890000,4.960000,N,N,turns,1.0,7,1,-1,N,2,mfa_textgrid_phone
4.960000,5.080000,Z,Z,turns,1.0,7,1,-1,Z,3,mfa_textgrid_phone
5.080000,5.220000,T,T,text,1.0,8,1,-1,T,0,mfa_textgrid_phone
5.220000,5.340000,EH1,EH1,text,1.0,8,1,-1,EH1,1,mfa_textgrid_phone
5.340000,5.440000,K,K,text,1.0,8,1,-1,K,2,mfa_textgrid_phone
5.440000,5.530000,S,S,text,1.0,8,1,-1,S,3,mfa_textgrid_phone
5.530000,5.590000,T,T,text,1.0,8,1,-1,T,4,mfa_textgrid_phone
5.650000,5.720000,IH0,IH0,into,1.0,9,1,-1,IH0,0,mfa_textgrid_phone
5.720000,5.770000,N,N,into,1.0,9,1,-1,N,1,mfa_textgrid_phone
5.770000,5.830000,T,T,into,1.0,9,1,-1,T,2,mfa_textgrid_phone
5.830000,5.980000,AH0,AH0,into,1.0,9,1,-1,AH0,3,mfa_textgrid_phone
5.980000,6.100000,AE2,AE2,animations,1.0,10,1,-1,AE2,0,mfa_textgrid_phone
6.100000,6.150000,N,N,animations,1.0,10,1,-1,N,1,mfa_textgrid_phone
