word_index,word,start,end,speech_region_index,sentence_index
0,i've,0.660000,0.990000,0,-1
1,been,0.990000,1.210000,0,-1
2,developing,1.210000,1.990000,0,-1
3,a,2.130000,2.220000,0,-1
4,lipsync,2.220000,2.910000,0,-1
5,system,2.940000,3.800000,0,-1
6,it,4.440000,4.630000,1,-1
7,turns,4.630000,5.080000,1,-1
8,text,5.080000,5.590000,1,-1
9,into,5.650000,5.980000,1,-1
10,animations,5.980000,6.820000,1,-1
11,that,6.820000,7.010000,1,-1
12,match,7.010000,7.500000,1,-1
13,the,7.500000,7.590000,1,-1
14,spoken,7.590000,7.840000,1,-1
15,words,7.840000,7.930000,1,-1
