start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.000000,0.030000,HH,hello,1.0,0,0,0,-1,mfa_textgrid_phone
0.030000,0.110000,EH0,hello,1.0,0,0,1,-1,mfa_textgrid_phone
0.110000,0.220000,L,hello,1.0,0,0,2,-1,mfa_textgrid_phone
0.220000,0.670000,OW1,hello,1.0,0,0,3,-1,mfa_textgrid_phone
0.820000,0.980000,AY1,i'm,1.0,1,1,0,-1,mfa_textgrid_phone
0.980000,1.060000,M,i'm,1.0,1,1,1,-1,mfa_textgrid_phone
1.060000,1.170000,L,lana,1.0,2,1,0,-1,mfa_textgrid_phone
1.170000,1.310000,AE1,lana,1.0,2,1,1,-1,mfa_textgrid_phone
1.310000,1.370000,N,lana,1.0,2,1,2,-1,mfa_textgrid_phone
1.370000,1.660000,AH0,lana,1.0,2,1,3,-1,mfa_textgrid_phone
1.890000,1.990000,N,nice,1.0,3,2,0,-1,mfa_textgrid_phone
1.990000,2.110000,AY1,nice,1.0,3,2,1,-1,mfa_textgrid_phone
2.110000,2.230000,S,nice,1.0,3,2,2,-1,mfa_textgrid_phone
2.230000,2.310000,T,to,1.0,4,2,0,-1,mfa_textgrid_phone
2.310000,2.350000,IH0,to,1.0,4,2,1,-1,mfa_textgrid_phone
2.350000,2.450000,M,meet,1.0,5,2,0,-1,mfa_textgrid_phone
2.450000,2.570000,IY1,meet,1.0,5,2,1,-1,mfa_textgrid_phone
2.570000,2.600000,T,meet,1.0,5,2,2,-1,mfa_textgrid_phone
2.600000,2.740000,Y,you,1.0,6,2,0,-1,mfa_textgrid_phone
2.740000,2.900000,UW1,you,1.0,6,2,1,-1,mfa_textgrid_phone
