word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,it,1,takes,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,takes,2,text,,,none,0,none,0.030000,0.030000,0.000000,0.030000,0,0
2,text,3,and,,,region_break,1,strong_acoustic_gap,0.340000,0.340000,0.340000,0.340000,0,1
3,and,4,turns,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
4,turns,5,it,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
5,it,6,into,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
6,into,7,animations,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
7,animations,8,then,",",",",region_break,1,comma_with_lull,0.370000,0.370000,0.370000,0.370000,1,2
8,then,9,matches,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
9,matches,10,them,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
10,them,11,with,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
11,with,12,the,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
12,the,13,audio,,,none,0,none,0.040000,0.040000,0.000000,0.040000,2,2
