start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.500000,0.570000,IH1,it,1.0,0,0,0,-1,mfa_textgrid_phone
0.570000,0.660000,T,it,1.0,0,0,1,-1,mfa_textgrid_phone
0.660000,0.740000,T,takes,1.0,1,0,0,-1,mfa_textgrid_phone
0.740000,0.850000,EY1,takes,1.0,1,0,1,-1,mfa_textgrid_phone
0.850000,0.920000,K,takes,1.0,1,0,2,-1,mfa_textgrid_phone
0.920000,1.030000,S,takes,1.0,1,0,3,-1,mfa_textgrid_phone
1.060000,1.180000,T,text,1.0,2,0,0,-1,mfa_textgrid_phone
1.180000,1.310000,EH1,text,1.0,2,0,1,-1,mfa_textgrid_phone
1.310000,1.400000,K,text,1.0,2,0,2,-1,mfa_textgrid_phone
1.400000,1.530000,S,text,1.0,2,0,3,-1,mfa_textgrid_phone
1.530000,1.630000,T,text,1.0,2,0,4,-1,mfa_textgrid_phone
1.970000,2.020000,AE1,and,1.0,3,1,0,-1,mfa_textgrid_phone
2.020000,2.090000,N,and,1.0,3,1,1,-1,mfa_textgrid_phone
2.090000,2.160000,D,and,1.0,3,1,2,-1,mfa_textgrid_phone
2.160000,2.310000,T,turns,1.0,4,1,0,-1,mfa_textgrid_phone
2.310000,2.430000,ER1,turns,1.0,4,1,1,-1,mfa_textgrid_phone
2.430000,2.520000,N,turns,1.0,4,1,2,-1,mfa_textgrid_phone
2.520000,2.580000,Z,turns,1.0,4,1,3,-1,mfa_textgrid_phone
2.580000,2.690000,IH1,it,1.0,5,1,0,-1,mfa_textgrid_phone
2.690000,2.740000,T,it,1.0,5,1,1,-1,mfa_textgrid_phone
2.740000,2.870000,IH0,into,1.0,6,1,0,-1,mfa_textgrid_phone
2.870000,2.930000,N,into,1.0,6,1,1,-1,mfa_textgrid_phone
2.930000,2.990000,T,into,1.0,6,1,2,-1,mfa_textgrid_phone
2.990000,3.130000,AH0,into,1.0,6,1,3,-1,mfa_textgrid_phone
3.130000,3.210000,AE2,animations,1.0,7,1,0,-1,mfa_textgrid_phone
3.210000,3.260000,N,animations,1.0,7,1,1,-1,mfa_textgrid_phone
3.260000,3.300000,AH0,animations,1.0,7,1,2,-1,mfa_textgrid_phone
3.300000,3.380000,M,animations,1.0,7,1,3,-1,mfa_textgrid_phone
3.380000,3.500000,EY1,animations,1.0,7,1,4,-1,mfa_textgrid_phone
3.500000,3.640000,SH,animations,1.0,7,1,5,-1,mfa_textgrid_phone
3.640000,3.760000,AH0,animations,1.0,7,1,6,-1,mfa_textgrid_phone
3.760000,3.910000,N,animations,1.0,7,1,7,-1,mfa_textgrid_phone
3.910000,4.120000,Z,animations,1.0,7,1,8,-1,mfa_textgrid_phone
4.490000,4.550000,DH,then,1.0,8,2,0,-1,mfa_textgrid_phone
4.550000,4.640000,EH1,then,1.0,8,2,1,-1,mfa_textgrid_phone
4.640000,4.780000,N,then,1.0,8,2,2,-1,mfa_textgrid_phone
4.780000,4.820000,M,matches,1.0,9,2,0,-1,mfa_textgrid_phone
4.820000,4.980000,AE1,matches,1.0,9,2,1,-1,mfa_textgrid_phone
4.980000,5.090000,CH,matches,1.0,9,2,2,-1,mfa_textgrid_phone
5.090000,5.140000,IH0,matches,1.0,9,2,3,-1,mfa_textgrid_phone
5.140000,5.230000,Z,matches,1.0,9,2,4,-1,mfa_textgrid_phone
5.230000,5.280000,DH,them,1.0,10,2,0,-1,mfa_textgrid_phone
5.280000,5.360000,EH1,them,1.0,10,2,1,-1,mfa_textgrid_phone
5.360000,5.450000,M,them,1.0,10,2,2,-1,mfa_textgrid_phone
5.450000,5.490000,W,with,1.0,11,2,0,-1,mfa_textgrid_phone
5.490000,5.530000,IH0,with,1.0,11,2,1,-1,mfa_textgrid_phone
5.530000,5.610000,TH,with,1.0,11,2,2,-1,mfa_textgrid_phone
5.610000,5.650000,DH,the,1.0,12,2,0,-1,mfa_textgrid_phone
5.650000,5.750000,IY0,the,1.0,12,2,1,-1,mfa_textgrid_phone
5.790000,5.930000,AA1,audio,1.0,13,2,0,-1,mfa_textgrid_phone
5.930000,5.980000,D,audio,1.0,13,2,1,-1,mfa_textgrid_phone
5.980000,6.110000,IY0,audio,1.0,13,2,2,-1,mfa_textgrid_phone
6.110000,6.330000,OW2,audio,1.0,13,2,3,-1,mfa_textgrid_phone
