start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.280000,0.400000,N,nice,1.0,0,0,0,-1,mfa_textgrid_phone
0.400000,0.500000,AY1,nice,1.0,0,0,1,-1,mfa_textgrid_phone
0.500000,0.610000,S,nice,1.0,0,0,2,-1,mfa_textgrid_phone
0.610000,0.690000,T,to,1.0,1,0,0,-1,mfa_textgrid_phone
0.690000,0.720000,IH0,to,1.0,1,0,1,-1,mfa_textgrid_phone
0.720000,0.790000,M,meet,1.0,2,0,0,-1,mfa_textgrid_phone
0.790000,0.920000,IY1,meet,1.0,2,0,1,-1,mfa_textgrid_phone
0.920000,0.970000,T,meet,1.0,2,0,2,-1,mfa_textgrid_phone
0.970000,1.050000,Y,you,1.0,3,0,0,-1,mfa_textgrid_phone
1.050000,1.090000,UW1,you,1.0,3,0,1,-1,mfa_textgrid_phone
1.090000,1.160000,M,matth,1.0,4,0,0,-1,mfa_textgrid_phone
1.160000,1.370000,AE1,matth,1.0,4,0,1,-1,mfa_textgrid_phone
1.370000,1.580000,TH,matth,1.0,4,0,2,-1,mfa_textgrid_phone
1.890000,1.930000,HH,what,1.0,5,1,0,-1,mfa_textgrid_phone
1.930000,2.010000,W,what,1.0,5,1,1,-1,mfa_textgrid_phone
2.010000,2.110000,AH1,what,1.0,5,1,2,-1,mfa_textgrid_phone
2.110000,2.190000,T,what,1.0,5,1,3,-1,mfa_textgrid_phone
2.190000,2.230000,B,brings,1.0,6,1,0,-1,mfa_textgrid_phone
2.230000,2.270000,R,brings,1.0,6,1,1,-1,mfa_textgrid_phone
2.270000,2.340000,IH1,brings,1.0,6,1,2,-1,mfa_textgrid_phone
2.340000,2.430000,NG,brings,1.0,6,1,3,-1,mfa_textgrid_phone
2.430000,2.510000,Z,brings,1.0,6,1,4,-1,mfa_textgrid_phone
2.510000,2.570000,Y,you,1.0,7,1,0,-1,mfa_textgrid_phone
2.570000,2.600000,UW1,you,1.0,7,1,1,-1,mfa_textgrid_phone
2.600000,2.700000,HH,here,1.0,8,1,0,-1,mfa_textgrid_phone
2.700000,2.780000,IY1,here,1.0,8,1,1,-1,mfa_textgrid_phone
2.780000,2.970000,R,here,1.0,8,1,2,-1,mfa_textgrid_phone
