start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.280000,0.400000,N,N,nice,1.0,0,0,-1,N,0,mfa_textgrid_phone
0.400000,0.500000,AY1,AY1,nice,1.0,0,0,-1,AY1,1,mfa_textgrid_phone
0.500000,0.610000,S,S,nice,1.0,0,0,-1,S,2,mfa_textgrid_phone
0.610000,0.690000,T,T,to,1.0,1,0,-1,T,0,mfa_textgrid_phone
0.690000,0.720000,IH0,IH0,to,1.0,1,0,-1,IH0,1,mfa_textgrid_phone
0.720000,0.790000,M,M,meet,1.0,2,0,-1,M,0,mfa_textgrid_phone
0.790000,0.920000,IY1,IY1,meet,1.0,2,0,-1,IY1,1,mfa_textgrid_phone
0.920000,0.970000,T,T,meet,1.0,2,0,-1,T,2,mfa_textgrid_phone
0.970000,1.050000,Y,Y,you,1.0,3,0,-1,Y,0,mfa_textgrid_phone
1.050000,1.090000,UW1,UW1,you,1.0,3,0,-1,UW1,1,mfa_textgrid_phone
1.090000,1.160000,M,M,matth,1.0,4,0,-1,M,0,mfa_textgrid_phone
1.160000,1.370000,AE1,AE1,matth,1.0,4,0,-1,AE1,1,mfa_textgrid_phone
1.370000,1.580000,TH,TH,matth,1.0,4,0,-1,TH,2,mfa_textgrid_phone
1.890000,1.930000,HH,HH,what,1.0,5,1,-1,HH,0,mfa_textgrid_phone
1.930000,2.010000,W,W,what,1.0,5,1,-1,W,1,mfa_textgrid_phone
2.010000,2.110000,AH1,AH1,what,1.0,5,1,-1,AH1,2,mfa_textgrid_phone
2.110000,2.190000,T,T,what,1.0,5,1,-1,T,3,mfa_textgrid_phone
2.190000,2.230000,B,B,brings,1.0,6,1,-1,B,0,mfa_textgrid_phone
2.230000,2.270000,R,R,brings,1.0,6,1,-1,R,1,mfa_textgrid_phone
2.270000,2.340000,IH1,IH1,brings,1.0,6,1,-1,IH1,2,mfa_textgrid_phone
2.340000,2.430000,NG,NG,brings,1.0,6,1,-1,NG,3,mfa_textgrid_phone
2.430000,2.510000,Z,Z,brings,1.0,6,1,-1,Z,4,mfa_textgrid_phone
2.510000,2.570000,Y,Y,you,1.0,7,1,-1,Y,0,mfa_textgrid_phone
2.570000,2.600000,UW1,UW1,you,1.0,7,1,-1,UW1,1,mfa_textgrid_phone
2.600000,2.700000,HH,HH,here,1.0,8,1,-1,HH,0,mfa_textgrid_phone
2.700000,2.780000,IY1,IY1,here,1.0,8,1,-1,IY1,1,mfa_textgrid_phone
2.780000,2.970000,R,R,here,1.0,8,1,-1,R,2,mfa_textgrid_phone
