start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.580000,0.660000,HH,hello,1.0,0,0,0,-1,mfa_textgrid_phone
0.660000,0.730000,AH0,hello,1.0,0,0,1,-1,mfa_textgrid_phone
0.730000,0.800000,L,hello,1.0,0,0,2,-1,mfa_textgrid_phone
0.800000,1.200000,OW1,hello,1.0,0,0,3,-1,mfa_textgrid_phone
1.320000,1.480000,AY1,i'm,1.0,1,1,0,-1,mfa_textgrid_phone
1.480000,1.540000,M,i'm,1.0,1,1,1,-1,mfa_textgrid_phone
1.540000,1.630000,L,lana,1.0,2,1,0,-1,mfa_textgrid_phone
1.630000,1.770000,AE1,lana,1.0,2,1,1,-1,mfa_textgrid_phone
1.770000,1.820000,N,lana,1.0,2,1,2,-1,mfa_textgrid_phone
1.820000,2.080000,AH0,lana,1.0,2,1,3,-1,mfa_textgrid_phone
2.270000,2.350000,N,nice,1.0,3,2,0,-1,mfa_textgrid_phone
2.350000,2.460000,AY1,nice,1.0,3,2,1,-1,mfa_textgrid_phone
2.460000,2.590000,S,nice,1.0,3,2,2,-1,mfa_textgrid_phone
2.590000,2.670000,T,to,1.0,4,2,0,-1,mfa_textgrid_phone
2.670000,2.700000,IH0,to,1.0,4,2,1,-1,mfa_textgrid_phone
2.700000,2.770000,M,meet,1.0,5,2,0,-1,mfa_textgrid_phone
2.770000,3.030000,IY1,meet,1.0,5,2,1,-1,mfa_textgrid_phone
3.030000,3.060000,Y,you,1.0,6,2,0,-1,mfa_textgrid_phone
3.060000,3.260000,UW1,you,1.0,6,2,1,-1,mfa_textgrid_phone
