start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.580000,0.660000,HH,HH,hello,1.0,0,0,-1,HH,0,mfa_textgrid_phone
0.660000,0.730000,AH0,AH0,hello,1.0,0,0,-1,AH0,1,mfa_textgrid_phone
0.730000,0.800000,L,L,hello,1.0,0,0,-1,L,2,mfa_textgrid_phone
0.800000,1.200000,OW1,OW1,hello,1.0,0,0,-1,OW1,3,mfa_textgrid_phone
1.320000,1.480000,AY1,AY1,i'm,1.0,1,1,-1,AY1,0,mfa_textgrid_phone
1.480000,1.540000,M,M,i'm,1.0,1,1,-1,M,1,mfa_textgrid_phone
1.540000,1.630000,L,L,lana,1.0,2,1,-1,L,0,mfa_textgrid_phone
1.630000,1.770000,AE1,AE1,lana,1.0,2,1,-1,AE1,1,mfa_textgrid_phone
1.770000,1.820000,N,N,lana,1.0,2,1,-1,N,2,mfa_textgrid_phone
1.820000,2.080000,AH0,AH0,lana,1.0,2,1,-1,AH0,3,mfa_textgrid_phone
2.270000,2.350000,N,N,nice,1.0,3,2,-1,N,0,mfa_textgrid_phone
2.350000,2.460000,AY1,AY1,nice,1.0,3,2,-1,AY1,1,mfa_textgrid_phone
2.460000,2.590000,S,S,nice,1.0,3,2,-1,S,2,mfa_textgrid_phone
2.590000,2.670000,T,T,to,1.0,4,2,-1,T,0,mfa_textgrid_phone
2.670000,2.700000,IH0,IH0,to,1.0,4,2,-1,IH0,1,mfa_textgrid_phone
2.700000,2.770000,M,M,meet,1.0,5,2,-1,M,0,mfa_textgrid_phone
2.770000,3.030000,IY1,IY1,meet,1.0,5,2,-1,IY1,1,mfa_textgrid_phone
3.030000,3.060000,Y,Y,you,1.0,6,2,-1,Y,0,mfa_textgrid_phone
3.060000,3.260000,UW1,UW1,you,1.0,6,2,-1,UW1,1,mfa_textgrid_phone
