word_index,word,start,end,speech_region_index,sentence_index
0,i,0.440000,0.570000,0,-1
1,found,0.570000,0.920000,0,-1
2,a,0.920000,0.970000,0,-1
3,few,0.970000,1.230000,0,-1
4,properties,1.230000,1.960000,0,-1
5,that,1.960000,2.120000,0,-1
6,might,2.120000,2.420000,0,-1
7,match,2.420000,2.780000,0,-1
8,your,2.780000,2.880000,0,-1
9,needs,2.880000,3.500000,0,-1
10,want,3.990000,4.180000,1,-1
11,to,4.180000,4.250000,1,-1
12,hear,4.250000,4.510000,1,-1
13,about,4.510000,4.810000,1,-1
14,them,4.810000,5.120000,1,-1
