start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.330000,0.430000,HH,hi,1.0,0,0,0,-1,mfa_textgrid_phone
0.430000,0.580000,AY1,hi,1.0,0,0,1,-1,mfa_textgrid_phone
0.580000,0.650000,DH,there,1.0,1,0,0,-1,mfa_textgrid_phone
0.650000,0.740000,EH1,there,1.0,1,0,1,-1,mfa_textgrid_phone
0.740000,0.860000,R,there,1.0,1,0,2,-1,mfa_textgrid_phone
0.900000,1.030000,AY1,i'm,1.0,2,0,0,-1,mfa_textgrid_phone
1.030000,1.140000,M,i'm,1.0,2,0,1,-1,mfa_textgrid_phone
1.140000,1.200000,L,lana,1.0,3,0,0,-1,mfa_textgrid_phone
1.200000,1.310000,AE1,lana,1.0,3,0,1,-1,mfa_textgrid_phone
1.310000,1.360000,N,lana,1.0,3,0,2,-1,mfa_textgrid_phone
1.360000,1.580000,AH0,lana,1.0,3,0,3,-1,mfa_textgrid_phone
1.720000,1.850000,HH,how,1.0,4,1,0,-1,mfa_textgrid_phone
1.850000,1.950000,AW1,how,1.0,4,1,1,-1,mfa_textgrid_phone
1.950000,2.030000,K,can,1.0,5,1,0,-1,mfa_textgrid_phone
2.030000,2.060000,AE1,can,1.0,5,1,1,-1,mfa_textgrid_phone
2.060000,2.110000,N,can,1.0,5,1,2,-1,mfa_textgrid_phone
2.110000,2.170000,AY1,i,1.0,6,1,0,-1,mfa_textgrid_phone
2.170000,2.270000,HH,help,1.0,7,1,0,-1,mfa_textgrid_phone
2.270000,2.320000,EH1,help,1.0,7,1,1,-1,mfa_textgrid_phone
2.320000,2.380000,L,help,1.0,7,1,2,-1,mfa_textgrid_phone
2.380000,2.480000,P,help,1.0,7,1,3,-1,mfa_textgrid_phone
2.480000,2.550000,Y,you,1.0,8,1,0,-1,mfa_textgrid_phone
2.550000,2.580000,UW1,you,1.0,8,1,1,-1,mfa_textgrid_phone
2.580000,2.690000,T,today,1.0,9,1,0,-1,mfa_textgrid_phone
2.690000,2.730000,AH0,today,1.0,9,1,1,-1,mfa_textgrid_phone
2.730000,2.770000,D,today,1.0,9,1,2,-1,mfa_textgrid_phone
2.770000,3.020000,EY1,today,1.0,9,1,3,-1,mfa_textgrid_phone
