start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.650000,0.750000,AY1,i've,1.0,0,0,0,-1,mfa_textgrid_phone
0.750000,0.810000,V,i've,1.0,0,0,1,-1,mfa_textgrid_phone
0.810000,0.850000,B,been,1.0,1,0,0,-1,mfa_textgrid_phone
0.850000,0.890000,IH1,been,1.0,1,0,1,-1,mfa_textgrid_phone
0.890000,1.030000,N,been,1.0,1,0,2,-1,mfa_textgrid_phone
1.070000,1.220000,AE1,analyzing,1.0,2,0,0,-1,mfa_textgrid_phone
1.220000,1.270000,N,analyzing,1.0,2,0,1,-1,mfa_textgrid_phone
1.270000,1.360000,AH0,analyzing,1.0,2,0,2,-1,mfa_textgrid_phone
1.360000,1.400000,L,analyzing,1.0,2,0,3,-1,mfa_textgrid_phone
1.400000,1.550000,AY2,analyzing,1.0,2,0,4,-1,mfa_textgrid_phone
1.550000,1.640000,Z,analyzing,1.0,2,0,5,-1,mfa_textgrid_phone
1.640000,1.710000,IH0,analyzing,1.0,2,0,6,-1,mfa_textgrid_phone
1.710000,1.780000,NG,analyzing,1.0,2,0,7,-1,mfa_textgrid_phone
1.780000,1.820000,DH,the,1.0,3,0,0,-1,mfa_textgrid_phone
1.820000,1.870000,IY0,the,1.0,3,0,1,-1,mfa_textgrid_phone
1.870000,1.980000,K,kentucky,1.0,4,0,0,-1,mfa_textgrid_phone
1.980000,2.020000,AH0,kentucky,1.0,4,0,1,-1,mfa_textgrid_phone
2.020000,2.100000,N,kentucky,1.0,4,0,2,-1,mfa_textgrid_phone
2.100000,2.190000,T,kentucky,1.0,4,0,3,-1,mfa_textgrid_phone
2.190000,2.260000,AH1,kentucky,1.0,4,0,4,-1,mfa_textgrid_phone
2.260000,2.370000,K,kentucky,1.0,4,0,5,-1,mfa_textgrid_phone
2.370000,2.430000,IY0,kentucky,1.0,4,0,6,-1,mfa_textgrid_phone
2.430000,2.510000,M,market,1.0,5,0,0,-1,mfa_textgrid_phone
2.510000,2.540000,AA1,market,1.0,5,0,1,-1,mfa_textgrid_phone
2.540000,2.630000,R,market,1.0,5,0,2,-1,mfa_textgrid_phone
2.630000,2.720000,K,market,1.0,5,0,3,-1,mfa_textgrid_phone
2.720000,2.870000,IH0,market,1.0,5,0,4,-1,mfa_textgrid_phone
2.870000,2.930000,T,market,1.0,5,0,5,-1,mfa_textgrid_phone
3.150000,3.300000,F,found,1.0,6,1,0,-1,mfa_textgrid_phone
3.300000,3.440000,AW1,found,1.0,6,1,1,-1,mfa_textgrid_phone
3.440000,3.490000,N,found,1.0,6,1,2,-1,mfa_textgrid_phone
3.490000,3.550000,D,found,1.0,6,1,3,-1,mfa_textgrid_phone
3.550000,3.590000,S,some,1.0,7,1,0,-1,mfa_textgrid_phone
3.590000,3.640000,AH1,some,1.0,7,1,1,-1,mfa_textgrid_phone
3.640000,3.680000,M,some,1.0,7,1,2,-1,mfa_textgrid_phone
3.760000,3.840000,IH1,interesting,1.0,8,1,0,-1,mfa_textgrid_phone
3.840000,3.900000,N,interesting,1.0,8,1,1,-1,mfa_textgrid_phone
3.900000,3.960000,T,interesting,1.0,8,1,2,-1,mfa_textgrid_phone
3.960000,3.990000,R,interesting,1.0,8,1,3,-1,mfa_textgrid_phone
3.990000,4.030000,IH0,interesting,1.0,8,1,4,-1,mfa_textgrid_phone
4.030000,4.100000,S,interesting,1.0,8,1,5,-1,mfa_textgrid_phone
4.100000,4.150000,T,interesting,1.0,8,1,6,-1,mfa_textgrid_phone
4.150000,4.200000,IH0,interesting,1.0,8,1,7,-1,mfa_textgrid_phone
4.200000,4.320000,NG,interesting,1.0,8,1,8,-1,mfa_textgrid_phone
4.320000,4.360000,L,leads,1.0,9,1,0,-1,mfa_textgrid_phone
4.360000,4.520000,IY1,leads,1.0,9,1,1,-1,mfa_textgrid_phone
4.520000,4.610000,D,leads,1.0,9,1,2,-1,mfa_textgrid_phone
4.610000,4.730000,Z,leads,1.0,9,1,3,-1,mfa_textgrid_phone
