word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,sure,1,thing,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,thing,2,matthew,",",",",none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,matthew,3,i'll,.,.,region_break,1,hard_punctuation_with_lull,0.370000,0.370000,0.360000,0.370000,0,1
3,i'll,4,make,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
4,make,5,sure,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
5,sure,6,rob,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
6,rob,7,knows,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
7,knows,8,you've,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
8,you've,9,got,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
9,got,10,some,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
10,some,11,good,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
11,good,12,options,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
