start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.610000,0.700000,HH,hello,1.0,0,0,0,-1,mfa_textgrid_phone
0.700000,0.760000,AH0,hello,1.0,0,0,1,-1,mfa_textgrid_phone
0.760000,0.840000,L,hello,1.0,0,0,2,-1,mfa_textgrid_phone
0.840000,1.110000,OW1,hello,1.0,0,0,3,-1,mfa_textgrid_phone
2.120000,2.270000,AY1,i'm,1.0,1,1,0,-1,mfa_textgrid_phone
2.270000,2.350000,M,i'm,1.0,1,1,1,-1,mfa_textgrid_phone
2.350000,2.390000,M,max,1.0,2,1,0,-1,mfa_textgrid_phone
2.390000,2.560000,AE1,max,1.0,2,1,1,-1,mfa_textgrid_phone
2.560000,2.680000,K,max,1.0,2,1,2,-1,mfa_textgrid_phone
2.680000,2.930000,S,max,1.0,2,1,3,-1,mfa_textgrid_phone
3.740000,3.880000,HH,how,1.0,3,2,0,-1,mfa_textgrid_phone
3.880000,3.990000,AW1,how,1.0,3,2,1,-1,mfa_textgrid_phone
3.990000,4.070000,K,can,1.0,4,2,0,-1,mfa_textgrid_phone
4.070000,4.120000,AH0,can,1.0,4,2,1,-1,mfa_textgrid_phone
4.120000,4.170000,N,can,1.0,4,2,2,-1,mfa_textgrid_phone
4.170000,4.240000,AY1,i,1.0,5,2,0,-1,mfa_textgrid_phone
4.240000,4.360000,AH0,assist,1.0,6,2,0,-1,mfa_textgrid_phone
4.360000,4.510000,S,assist,1.0,6,2,1,-1,mfa_textgrid_phone
4.510000,4.590000,IH1,assist,1.0,6,2,2,-1,mfa_textgrid_phone
4.590000,4.680000,S,assist,1.0,6,2,3,-1,mfa_textgrid_phone
4.680000,4.750000,T,assist,1.0,6,2,4,-1,mfa_textgrid_phone
4.750000,4.840000,Y,you,1.0,7,2,0,-1,mfa_textgrid_phone
4.840000,4.920000,UW1,you,1.0,7,2,1,-1,mfa_textgrid_phone
4.920000,4.960000,W,with,1.0,8,2,0,-1,mfa_textgrid_phone
4.960000,5.000000,IH0,with,1.0,8,2,1,-1,mfa_textgrid_phone
5.000000,5.080000,TH,with,1.0,8,2,2,-1,mfa_textgrid_phone
5.080000,5.110000,DH,the,1.0,9,2,0,-1,mfa_textgrid_phone
5.110000,5.150000,AH0,the,1.0,9,2,1,-1,mfa_textgrid_phone
5.150000,5.270000,D,deal,1.0,10,2,0,-1,mfa_textgrid_phone
5.270000,5.420000,IY1,deal,1.0,10,2,1,-1,mfa_textgrid_phone
5.420000,5.490000,L,deal,1.0,10,2,2,-1,mfa_textgrid_phone
5.490000,5.600000,IH0,in,1.0,11,2,0,-1,mfa_textgrid_phone
5.600000,5.700000,N,in,1.0,11,2,1,-1,mfa_textgrid_phone
5.700000,5.770000,K,kentucky,1.0,12,2,0,-1,mfa_textgrid_phone
5.770000,5.800000,AH0,kentucky,1.0,12,2,1,-1,mfa_textgrid_phone
5.800000,5.880000,N,kentucky,1.0,12,2,2,-1,mfa_textgrid_phone
5.880000,5.970000,T,kentucky,1.0,12,2,3,-1,mfa_textgrid_phone
5.970000,6.040000,AH1,kentucky,1.0,12,2,4,-1,mfa_textgrid_phone
6.040000,6.150000,K,kentucky,1.0,12,2,5,-1,mfa_textgrid_phone
6.150000,6.300000,IY0,kentucky,1.0,12,2,6,-1,mfa_textgrid_phone
