start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.360000,0.450000,HH,HH,hello,1.0,0,0,-1,HH,0,mfa_textgrid_phone
0.450000,0.490000,AH0,AH0,hello,1.0,0,0,-1,AH0,1,mfa_textgrid_phone
0.490000,0.550000,L,L,hello,1.0,0,0,-1,L,2,mfa_textgrid_phone
0.550000,0.860000,OW1,OW1,hello,1.0,0,0,-1,OW1,3,mfa_textgrid_phone
0.890000,1.010000,AY1,AY1,i'm,1.0,1,0,-1,AY1,0,mfa_textgrid_phone
1.010000,1.100000,M,M,i'm,1.0,1,0,-1,M,1,mfa_textgrid_phone
1.100000,1.140000,M,M,max,1.0,2,0,-1,M,0,mfa_textgrid_phone
1.140000,1.340000,AE1,AE1,max,1.0,2,0,-1,AE1,1,mfa_textgrid_phone
1.340000,1.440000,K,K,max,1.0,2,0,-1,K,2,mfa_textgrid_phone
1.440000,1.650000,S,S,max,1.0,2,0,-1,S,3,mfa_textgrid_phone
2.020000,2.130000,HH,HH,how,1.0,3,1,-1,HH,0,mfa_textgrid_phone
2.130000,2.210000,AW1,AW1,how,1.0,3,1,-1,AW1,1,mfa_textgrid_phone
2.210000,2.280000,K,K,can,1.0,4,1,-1,K,0,mfa_textgrid_phone
2.280000,2.310000,AE1,AE1,can,1.0,4,1,-1,AE1,1,mfa_textgrid_phone
2.310000,2.360000,N,N,can,1.0,4,1,-1,N,2,mfa_textgrid_phone
2.360000,2.450000,AY1,AY1,i,1.0,5,1,-1,AY1,0,mfa_textgrid_phone
2.450000,2.540000,AH0,AH0,assist,1.0,6,1,-1,AH0,0,mfa_textgrid_phone
2.540000,2.680000,S,S,assist,1.0,6,1,-1,S,1,mfa_textgrid_phone
2.680000,2.740000,IH1,IH1,assist,1.0,6,1,-1,IH1,2,mfa_textgrid_phone
2.740000,2.840000,S,S,assist,1.0,6,1,-1,S,3,mfa_textgrid_phone
2.840000,2.910000,T,T,assist,1.0,6,1,-1,T,4,mfa_textgrid_phone
2.910000,2.980000,Y,Y,you,1.0,7,1,-1,Y,0,mfa_textgrid_phone
2.980000,3.040000,UW1,UW1,you,1.0,7,1,-1,UW1,1,mfa_textgrid_phone
3.040000,3.070000,W,W,with,1.0,8,1,-1,W,0,mfa_textgrid_phone
3.070000,3.120000,IH0,IH0,with,1.0,8,1,-1,IH0,1,mfa_textgrid_phone
3.120000,3.180000,TH,TH,with,1.0,8,1,-1,TH,2,mfa_textgrid_phone
3.180000,3.220000,DH,DH,the,1.0,9,1,-1,DH,0,mfa_textgrid_phone
3.220000,3.250000,AH0,AH0,the,1.0,9,1,-1,AH0,1,mfa_textgrid_phone
3.250000,3.340000,D,D,deal,1.0,10,1,-1,D,0,mfa_textgrid_phone
3.340000,3.470000,IY1,IY1,deal,1.0,10,1,-1,IY1,1,mfa_textgrid_phone
3.470000,3.530000,L,L,deal,1.0,10,1,-1,L,2,mfa_textgrid_phone
3.530000,3.590000,IH0,IH0,in,1.0,11,1,-1,IH0,0,mfa_textgrid_phone
3.590000,3.660000,N,N,in,1.0,11,1,-1,N,1,mfa_textgrid_phone
3.660000,3.720000,K,K,kentucky,1.0,12,1,-1,K,0,mfa_textgrid_phone
3.720000,3.770000,AH0,AH0,kentucky,1.0,12,1,-1,AH0,1,mfa_textgrid_phone
3.770000,3.810000,N,N,kentucky,1.0,12,1,-1,N,2,mfa_textgrid_phone
3.810000,3.900000,T,T,kentucky,1.0,12,1,-1,T,3,mfa_textgrid_phone
3.900000,3.970000,AH1,AH1,kentucky,1.0,12,1,-1,AH1,4,mfa_textgrid_phone
3.970000,4.070000,K,K,kentucky,1.0,12,1,-1,K,5,mfa_textgrid_phone
4.070000,4.290000,IY0,IY0,kentucky,1.0,12,1,-1,IY0,6,mfa_textgrid_phone
