start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.340000,0.450000,HH,hello,1.0,0,0,0,-1,mfa_textgrid_phone
0.450000,0.500000,AH0,hello,1.0,0,0,1,-1,mfa_textgrid_phone
0.500000,0.590000,L,hello,1.0,0,0,2,-1,mfa_textgrid_phone
0.590000,0.990000,OW1,hello,1.0,0,0,3,-1,mfa_textgrid_phone
1.210000,1.330000,AY1,i'm,1.0,1,1,0,-1,mfa_textgrid_phone
1.330000,1.440000,M,i'm,1.0,1,1,1,-1,mfa_textgrid_phone
1.440000,1.480000,M,max,1.0,2,1,0,-1,mfa_textgrid_phone
1.480000,1.690000,AE1,max,1.0,2,1,1,-1,mfa_textgrid_phone
1.690000,1.810000,K,max,1.0,2,1,2,-1,mfa_textgrid_phone
1.810000,2.100000,S,max,1.0,2,1,3,-1,mfa_textgrid_phone
2.390000,2.490000,HH,how,1.0,3,2,0,-1,mfa_textgrid_phone
2.490000,2.580000,AW1,how,1.0,3,2,1,-1,mfa_textgrid_phone
2.580000,2.670000,K,can,1.0,4,2,0,-1,mfa_textgrid_phone
2.670000,2.700000,AE1,can,1.0,4,2,1,-1,mfa_textgrid_phone
2.700000,2.750000,N,can,1.0,4,2,2,-1,mfa_textgrid_phone
2.750000,2.830000,AY1,i,1.0,5,2,0,-1,mfa_textgrid_phone
2.830000,2.950000,AH0,assist,1.0,6,2,0,-1,mfa_textgrid_phone
2.950000,3.090000,S,assist,1.0,6,2,1,-1,mfa_textgrid_phone
3.090000,3.150000,IH1,assist,1.0,6,2,2,-1,mfa_textgrid_phone
3.150000,3.250000,S,assist,1.0,6,2,3,-1,mfa_textgrid_phone
3.250000,3.320000,T,assist,1.0,6,2,4,-1,mfa_textgrid_phone
3.320000,3.370000,Y,you,1.0,7,2,0,-1,mfa_textgrid_phone
3.370000,3.430000,UW1,you,1.0,7,2,1,-1,mfa_textgrid_phone
3.430000,3.470000,W,with,1.0,8,2,0,-1,mfa_textgrid_phone
3.470000,3.520000,IH0,with,1.0,8,2,1,-1,mfa_textgrid_phone
3.520000,3.590000,TH,with,1.0,8,2,2,-1,mfa_textgrid_phone
3.590000,3.630000,DH,the,1.0,9,2,0,-1,mfa_textgrid_phone
3.630000,3.670000,AH0,the,1.0,9,2,1,-1,mfa_textgrid_phone
3.670000,3.780000,D,deal,1.0,10,2,0,-1,mfa_textgrid_phone
3.780000,3.920000,IY1,deal,1.0,10,2,1,-1,mfa_textgrid_phone
3.920000,4.040000,L,deal,1.0,10,2,2,-1,mfa_textgrid_phone
4.070000,4.150000,IH1,in,1.0,11,2,0,-1,mfa_textgrid_phone
4.150000,4.220000,N,in,1.0,11,2,1,-1,mfa_textgrid_phone
4.220000,4.320000,K,kentucky,1.0,12,2,0,-1,mfa_textgrid_phone
4.320000,4.360000,AH0,kentucky,1.0,12,2,1,-1,mfa_textgrid_phone
4.360000,4.430000,N,kentucky,1.0,12,2,2,-1,mfa_textgrid_phone
4.430000,4.540000,T,kentucky,1.0,12,2,3,-1,mfa_textgrid_phone
4.540000,4.600000,AH1,kentucky,1.0,12,2,4,-1,mfa_textgrid_phone
4.600000,4.720000,K,kentucky,1.0,12,2,5,-1,mfa_textgrid_phone
4.720000,5.010000,IY0,kentucky,1.0,12,2,6,-1,mfa_textgrid_phone
