start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.340000,0.420000,HH,HH,hello,1.0,0,0,-1,HH,0,mfa_textgrid_phone
0.420000,0.480000,AH0,AH0,hello,1.0,0,0,-1,AH0,1,mfa_textgrid_phone
0.480000,0.540000,L,L,hello,1.0,0,0,-1,L,2,mfa_textgrid_phone
0.540000,0.800000,OW1,OW1,hello,1.0,0,0,-1,OW1,3,mfa_textgrid_phone
0.880000,0.990000,AY1,AY1,i'm,1.0,1,0,-1,AY1,0,mfa_textgrid_phone
0.990000,1.080000,M,M,i'm,1.0,1,0,-1,M,1,mfa_textgrid_phone
1.080000,1.120000,M,M,max,1.0,2,0,-1,M,0,mfa_textgrid_phone
1.120000,1.300000,AE1,AE1,max,1.0,2,0,-1,AE1,1,mfa_textgrid_phone
1.300000,1.410000,K,K,max,1.0,2,0,-1,K,2,mfa_textgrid_phone
1.410000,1.610000,S,S,max,1.0,2,0,-1,S,3,mfa_textgrid_phone
1.680000,1.800000,HH,HH,how,1.0,3,0,-1,HH,0,mfa_textgrid_phone
1.800000,1.880000,AW1,AW1,how,1.0,3,0,-1,AW1,1,mfa_textgrid_phone
1.880000,1.950000,K,K,can,1.0,4,0,-1,K,0,mfa_textgrid_phone
1.950000,1.990000,AH0,AH0,can,1.0,4,0,-1,AH0,1,mfa_textgrid_phone
1.990000,2.030000,N,N,can,1.0,4,0,-1,N,2,mfa_textgrid_phone
2.030000,2.130000,AY1,AY1,i,1.0,5,0,-1,AY1,0,mfa_textgrid_phone
2.130000,2.220000,AH0,AH0,assist,1.0,6,0,-1,AH0,0,mfa_textgrid_phone
2.220000,2.350000,S,S,assist,1.0,6,0,-1,S,1,mfa_textgrid_phone
2.350000,2.410000,IH1,IH1,assist,1.0,6,0,-1,IH1,2,mfa_textgrid_phone
2.410000,2.490000,S,S,assist,1.0,6,0,-1,S,3,mfa_textgrid_phone
2.490000,2.560000,T,T,assist,1.0,6,0,-1,T,4,mfa_textgrid_phone
2.560000,2.600000,Y,Y,you,1.0,7,0,-1,Y,0,mfa_textgrid_phone
2.600000,2.660000,UW1,UW1,you,1.0,7,0,-1,UW1,1,mfa_textgrid_phone
2.660000,2.690000,W,W,with,1.0,8,0,-1,W,0,mfa_textgrid_phone
2.690000,2.740000,IH0,IH0,with,1.0,8,0,-1,IH0,1,mfa_textgrid_phone
2.740000,2.800000,DH,DH,with,1.0,8,0,-1,DH,2,mfa_textgrid_phone
2.800000,2.830000,DH,DH,the,1.0,9,0,-1,DH,0,mfa_textgrid_phone
2.830000,2.880000,AH0,AH0,the,1.0,9,0,-1,AH0,1,mfa_textgrid_phone
2.880000,2.970000,D,D,deal,1.0,10,0,-1,D,0,mfa_textgrid_phone
2.970000,3.100000,IY1,IY1,deal,1.0,10,0,-1,IY1,1,mfa_textgrid_phone
3.100000,3.160000,L,L,deal,1.0,10,0,-1,L,2,mfa_textgrid_phone
3.160000,3.270000,IH0,IH0,in,1.0,11,0,-1,IH0,0,mfa_textgrid_phone
3.270000,3.330000,N,N,in,1.0,11,0,-1,N,1,mfa_textgrid_phone
3.330000,3.400000,K,K,kentucky,1.0,12,0,-1,K,0,mfa_textgrid_phone
3.400000,3.450000,AH0,AH0,kentucky,1.0,12,0,-1,AH0,1,mfa_textgrid_phone
3.450000,3.500000,N,N,kentucky,1.0,12,0,-1,N,2,mfa_textgrid_phone
3.500000,3.580000,T,T,kentucky,1.0,12,0,-1,T,3,mfa_textgrid_phone
3.580000,3.660000,AH1,AH1,kentucky,1.0,12,0,-1,AH1,4,mfa_textgrid_phone
3.660000,3.770000,K,K,kentucky,1.0,12,0,-1,K,5,mfa_textgrid_phone
3.770000,3.950000,IY0,IY0,kentucky,1.0,12,0,-1,IY0,6,mfa_textgrid_phone
