start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.500000,0.570000,HH,hello,1.0,0,0,0,-1,mfa_textgrid_phone
0.570000,0.620000,AH0,hello,1.0,0,0,1,-1,mfa_textgrid_phone
0.620000,0.710000,L,hello,1.0,0,0,2,-1,mfa_textgrid_phone
0.710000,1.010000,OW1,hello,1.0,0,0,3,-1,mfa_textgrid_phone
1.120000,1.240000,AY1,i'm,1.0,1,0,0,-1,mfa_textgrid_phone
1.240000,1.350000,M,i'm,1.0,1,0,1,-1,mfa_textgrid_phone
1.350000,1.390000,M,max,1.0,2,0,0,-1,mfa_textgrid_phone
1.390000,1.570000,AE1,max,1.0,2,0,1,-1,mfa_textgrid_phone
1.570000,1.660000,K,max,1.0,2,0,2,-1,mfa_textgrid_phone
1.660000,1.810000,S,max,1.0,2,0,3,-1,mfa_textgrid_phone
2.160000,2.270000,HH,how,1.0,3,1,0,-1,mfa_textgrid_phone
2.270000,2.360000,AW1,how,1.0,3,1,1,-1,mfa_textgrid_phone
2.360000,2.440000,K,can,1.0,4,1,0,-1,mfa_textgrid_phone
2.440000,2.480000,AH0,can,1.0,4,1,1,-1,mfa_textgrid_phone
2.480000,2.520000,N,can,1.0,4,1,2,-1,mfa_textgrid_phone
2.520000,2.620000,AY1,i,1.0,5,1,0,-1,mfa_textgrid_phone
2.620000,2.720000,AH0,assist,1.0,6,1,0,-1,mfa_textgrid_phone
2.720000,2.870000,S,assist,1.0,6,1,1,-1,mfa_textgrid_phone
2.870000,2.940000,IH1,assist,1.0,6,1,2,-1,mfa_textgrid_phone
2.940000,3.040000,S,assist,1.0,6,1,3,-1,mfa_textgrid_phone
3.040000,3.120000,T,assist,1.0,6,1,4,-1,mfa_textgrid_phone
3.120000,3.180000,Y,you,1.0,7,1,0,-1,mfa_textgrid_phone
3.180000,3.240000,UW1,you,1.0,7,1,1,-1,mfa_textgrid_phone
3.240000,3.280000,W,with,1.0,8,1,0,-1,mfa_textgrid_phone
3.280000,3.320000,IH0,with,1.0,8,1,1,-1,mfa_textgrid_phone
3.320000,3.390000,DH,with,1.0,8,1,2,-1,mfa_textgrid_phone
3.390000,3.430000,DH,the,1.0,9,1,0,-1,mfa_textgrid_phone
3.430000,3.480000,AH0,the,1.0,9,1,1,-1,mfa_textgrid_phone
3.480000,3.590000,D,deal,1.0,10,1,0,-1,mfa_textgrid_phone
3.590000,3.730000,IY1,deal,1.0,10,1,1,-1,mfa_textgrid_phone
3.730000,3.790000,L,deal,1.0,10,1,2,-1,mfa_textgrid_phone
3.790000,3.880000,IH0,in,1.0,11,1,0,-1,mfa_textgrid_phone
3.880000,3.950000,N,in,1.0,11,1,1,-1,mfa_textgrid_phone
3.950000,4.030000,K,kentucky,1.0,12,1,0,-1,mfa_textgrid_phone
4.030000,4.060000,AH0,kentucky,1.0,12,1,1,-1,mfa_textgrid_phone
4.060000,4.130000,N,kentucky,1.0,12,1,2,-1,mfa_textgrid_phone
4.130000,4.230000,T,kentucky,1.0,12,1,3,-1,mfa_textgrid_phone
4.230000,4.290000,AH1,kentucky,1.0,12,1,4,-1,mfa_textgrid_phone
4.290000,4.410000,K,kentucky,1.0,12,1,5,-1,mfa_textgrid_phone
4.410000,4.590000,IY0,kentucky,1.0,12,1,6,-1,mfa_textgrid_phone
