start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.500000,0.570000,HH,HH,hello,1.0,0,0,-1,HH,0,mfa_textgrid_phone
0.570000,0.620000,AH0,AH0,hello,1.0,0,0,-1,AH0,1,mfa_textgrid_phone
0.620000,0.710000,L,L,hello,1.0,0,0,-1,L,2,mfa_textgrid_phone
0.710000,1.010000,OW1,OW1,hello,1.0,0,0,-1,OW1,3,mfa_textgrid_phone
1.120000,1.240000,AY1,AY1,i'm,1.0,1,0,-1,AY1,0,mfa_textgrid_phone
1.240000,1.350000,M,M,i'm,1.0,1,0,-1,M,1,mfa_textgrid_phone
1.350000,1.390000,M,M,max,1.0,2,0,-1,M,0,mfa_textgrid_phone
1.390000,1.570000,AE1,AE1,max,1.0,2,0,-1,AE1,1,mfa_textgrid_phone
1.570000,1.660000,K,K,max,1.0,2,0,-1,K,2,mfa_textgrid_phone
1.660000,1.810000,S,S,max,1.0,2,0,-1,S,3,mfa_textgrid_phone
2.160000,2.270000,HH,HH,how,1.0,3,1,-1,HH,0,mfa_textgrid_phone
2.270000,2.360000,AW1,AW1,how,1.0,3,1,-1,AW1,1,mfa_textgrid_phone
2.360000,2.440000,K,K,can,1.0,4,1,-1,K,0,mfa_textgrid_phone
2.440000,2.480000,AH0,AH0,can,1.0,4,1,-1,AH0,1,mfa_textgrid_phone
2.480000,2.520000,N,N,can,1.0,4,1,-1,N,2,mfa_textgrid_phone
2.520000,2.620000,AY1,AY1,i,1.0,5,1,-1,AY1,0,mfa_textgrid_phone
2.620000,2.720000,AH0,AH0,assist,1.0,6,1,-1,AH0,0,mfa_textgrid_phone
2.720000,2.870000,S,S,assist,1.0,6,1,-1,S,1,mfa_textgrid_phone
2.870000,2.940000,IH1,IH1,assist,1.0,6,1,-1,IH1,2,mfa_textgrid_phone
2.940000,3.040000,S,S,assist,1.0,6,1,-1,S,3,mfa_textgrid_phone
3.040000,3.120000,T,T,assist,1.0,6,1,-1,T,4,mfa_textgrid_phone
3.120000,3.180000,Y,Y,you,1.0,7,1,-1,Y,0,mfa_textgrid_phone
3.180000,3.240000,UW1,UW1,you,1.0,7,1,-1,UW1,1,mfa_textgrid_phone
3.240000,3.280000,W,W,with,1.0,8,1,-1,W,0,mfa_textgrid_phone
3.280000,3.320000,IH0,IH0,with,1.0,8,1,-1,IH0,1,mfa_textgrid_phone
3.320000,3.390000,DH,DH,with,1.0,8,1,-1,DH,2,mfa_textgrid_phone
3.390000,3.430000,DH,DH,the,1.0,9,1,-1,DH,0,mfa_textgrid_phone
3.430000,3.480000,AH0,AH0,the,1.0,9,1,-1,AH0,1,mfa_textgrid_phone
3.480000,3.590000,D,D,deal,1.0,10,1,-1,D,0,mfa_textgrid_phone
3.590000,3.730000,IY1,IY1,deal,1.0,10,1,-1,IY1,1,mfa_textgrid_phone
3.730000,3.790000,L,L,deal,1.0,10,1,-1,L,2,mfa_textgrid_phone
3.790000,3.880000,IH0,IH0,in,1.0,11,1,-1,IH0,0,mfa_textgrid_phone
3.880000,3.950000,N,N,in,1.0,11,1,-1,N,1,mfa_textgrid_phone
3.950000,4.030000,K,K,kentucky,1.0,12,1,-1,K,0,mfa_textgrid_phone
4.030000,4.060000,AH0,AH0,kentucky,1.0,12,1,-1,AH0,1,mfa_textgrid_phone
4.060000,4.130000,N,N,kentucky,1.0,12,1,-1,N,2,mfa_textgrid_phone
4.130000,4.230000,T,T,kentucky,1.0,12,1,-1,T,3,mfa_textgrid_phone
4.230000,4.290000,AH1,AH1,kentucky,1.0,12,1,-1,AH1,4,mfa_textgrid_phone
4.290000,4.410000,K,K,kentucky,1.0,12,1,-1,K,5,mfa_textgrid_phone
4.410000,4.590000,IY0,IY0,kentucky,1.0,12,1,-1,IY0,6,mfa_textgrid_phone
