start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.410000,0.540000,HH,HH,hello,1.0,0,0,-1,HH,0,mfa_textgrid_phone
0.540000,0.590000,AH0,AH0,hello,1.0,0,0,-1,AH0,1,mfa_textgrid_phone
0.590000,0.680000,L,L,hello,1.0,0,0,-1,L,2,mfa_textgrid_phone
0.680000,1.080000,OW1,OW1,hello,1.0,0,0,-1,OW1,3,mfa_textgrid_phone
1.120000,1.250000,AY1,AY1,i'm,1.0,1,0,-1,AY1,0,mfa_textgrid_phone
1.250000,1.360000,M,M,i'm,1.0,1,0,-1,M,1,mfa_textgrid_phone
1.360000,1.400000,M,M,max,1.0,2,0,-1,M,0,mfa_textgrid_phone
1.400000,1.630000,AE1,AE1,max,1.0,2,0,-1,AE1,1,mfa_textgrid_phone
1.630000,1.740000,K,K,max,1.0,2,0,-1,K,2,mfa_textgrid_phone
1.740000,1.980000,S,S,max,1.0,2,0,-1,S,3,mfa_textgrid_phone
2.220000,2.360000,HH,HH,how,1.0,3,1,-1,HH,0,mfa_textgrid_phone
2.360000,2.470000,AW1,AW1,how,1.0,3,1,-1,AW1,1,mfa_textgrid_phone
2.470000,2.560000,K,K,can,1.0,4,1,-1,K,0,mfa_textgrid_phone
2.560000,2.590000,AE1,AE1,can,1.0,4,1,-1,AE1,1,mfa_textgrid_phone
2.590000,2.640000,N,N,can,1.0,4,1,-1,N,2,mfa_textgrid_phone
2.640000,2.720000,AY1,AY1,i,1.0,5,1,-1,AY1,0,mfa_textgrid_phone
2.720000,2.830000,AH0,AH0,assist,1.0,6,1,-1,AH0,0,mfa_textgrid_phone
2.830000,2.980000,S,S,assist,1.0,6,1,-1,S,1,mfa_textgrid_phone
2.980000,3.040000,IH1,IH1,assist,1.0,6,1,-1,IH1,2,mfa_textgrid_phone
3.040000,3.140000,S,S,assist,1.0,6,1,-1,S,3,mfa_textgrid_phone
3.140000,3.220000,T,T,assist,1.0,6,1,-1,T,4,mfa_textgrid_phone
3.220000,3.270000,Y,Y,you,1.0,7,1,-1,Y,0,mfa_textgrid_phone
3.270000,3.330000,UW1,UW1,you,1.0,7,1,-1,UW1,1,mfa_textgrid_phone
3.330000,3.370000,W,W,with,1.0,8,1,-1,W,0,mfa_textgrid_phone
3.370000,3.420000,IH0,IH0,with,1.0,8,1,-1,IH0,1,mfa_textgrid_phone
3.420000,3.480000,DH,DH,with,1.0,8,1,-1,DH,2,mfa_textgrid_phone
3.480000,3.520000,DH,DH,the,1.0,9,1,-1,DH,0,mfa_textgrid_phone
3.520000,3.560000,AH0,AH0,the,1.0,9,1,-1,AH0,1,mfa_textgrid_phone
3.560000,3.660000,D,D,deal,1.0,10,1,-1,D,0,mfa_textgrid_phone
3.660000,3.790000,IY1,IY1,deal,1.0,10,1,-1,IY1,1,mfa_textgrid_phone
3.790000,3.850000,L,L,deal,1.0,10,1,-1,L,2,mfa_textgrid_phone
3.850000,3.920000,IH0,IH0,in,1.0,11,1,-1,IH0,0,mfa_textgrid_phone
3.920000,3.980000,N,N,in,1.0,11,1,-1,N,1,mfa_textgrid_phone
3.980000,4.070000,K,K,kentucky,1.0,12,1,-1,K,0,mfa_textgrid_phone
4.070000,4.110000,AH0,AH0,kentucky,1.0,12,1,-1,AH0,1,mfa_textgrid_phone
4.110000,4.170000,N,N,kentucky,1.0,12,1,-1,N,2,mfa_textgrid_phone
4.170000,4.280000,T,T,kentucky,1.0,12,1,-1,T,3,mfa_textgrid_phone
4.280000,4.340000,AH1,AH1,kentucky,1.0,12,1,-1,AH1,4,mfa_textgrid_phone
4.340000,4.450000,K,K,kentucky,1.0,12,1,-1,K,5,mfa_textgrid_phone
4.450000,4.710000,IY0,IY0,kentucky,1.0,12,1,-1,IY0,6,mfa_textgrid_phone
