start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.430000,0.510000,HH,hello,1.0,0,0,0,-1,mfa_textgrid_phone
0.510000,0.550000,AH0,hello,1.0,0,0,1,-1,mfa_textgrid_phone
0.550000,0.630000,L,hello,1.0,0,0,2,-1,mfa_textgrid_phone
0.630000,1.000000,OW1,hello,1.0,0,0,3,-1,mfa_textgrid_phone
1.320000,1.490000,AY1,i'm,1.0,1,1,0,-1,mfa_textgrid_phone
1.490000,1.610000,M,i'm,1.0,1,1,1,-1,mfa_textgrid_phone
1.610000,1.650000,M,max,1.0,2,1,0,-1,mfa_textgrid_phone
1.650000,1.840000,AE1,max,1.0,2,1,1,-1,mfa_textgrid_phone
1.840000,1.970000,K,max,1.0,2,1,2,-1,mfa_textgrid_phone
1.970000,2.210000,S,max,1.0,2,1,3,-1,mfa_textgrid_phone
2.390000,2.520000,HH,how,1.0,3,2,0,-1,mfa_textgrid_phone
2.520000,2.610000,AW1,how,1.0,3,2,1,-1,mfa_textgrid_phone
2.610000,2.700000,K,can,1.0,4,2,0,-1,mfa_textgrid_phone
2.700000,2.730000,AE1,can,1.0,4,2,1,-1,mfa_textgrid_phone
2.730000,2.770000,N,can,1.0,4,2,2,-1,mfa_textgrid_phone
2.770000,2.850000,AY1,i,1.0,5,2,0,-1,mfa_textgrid_phone
2.850000,2.960000,AH0,assist,1.0,6,2,0,-1,mfa_textgrid_phone
2.960000,3.100000,S,assist,1.0,6,2,1,-1,mfa_textgrid_phone
3.100000,3.160000,IH1,assist,1.0,6,2,2,-1,mfa_textgrid_phone
3.160000,3.250000,S,assist,1.0,6,2,3,-1,mfa_textgrid_phone
3.250000,3.320000,T,assist,1.0,6,2,4,-1,mfa_textgrid_phone
3.320000,3.360000,Y,you,1.0,7,2,0,-1,mfa_textgrid_phone
3.360000,3.420000,UW1,you,1.0,7,2,1,-1,mfa_textgrid_phone
3.420000,3.470000,W,with,1.0,8,2,0,-1,mfa_textgrid_phone
3.470000,3.510000,IH0,with,1.0,8,2,1,-1,mfa_textgrid_phone
3.510000,3.570000,DH,with,1.0,8,2,2,-1,mfa_textgrid_phone
3.570000,3.610000,DH,the,1.0,9,2,0,-1,mfa_textgrid_phone
3.610000,3.650000,AH0,the,1.0,9,2,1,-1,mfa_textgrid_phone
3.650000,3.770000,D,deal,1.0,10,2,0,-1,mfa_textgrid_phone
3.770000,3.930000,IY1,deal,1.0,10,2,1,-1,mfa_textgrid_phone
3.930000,4.000000,L,deal,1.0,10,2,2,-1,mfa_textgrid_phone
4.000000,4.110000,IH0,in,1.0,11,2,0,-1,mfa_textgrid_phone
4.110000,4.190000,N,in,1.0,11,2,1,-1,mfa_textgrid_phone
4.190000,4.270000,K,kentucky,1.0,12,2,0,-1,mfa_textgrid_phone
4.270000,4.320000,AH0,kentucky,1.0,12,2,1,-1,mfa_textgrid_phone
4.320000,4.370000,N,kentucky,1.0,12,2,2,-1,mfa_textgrid_phone
4.370000,4.470000,T,kentucky,1.0,12,2,3,-1,mfa_textgrid_phone
4.470000,4.530000,AH1,kentucky,1.0,12,2,4,-1,mfa_textgrid_phone
4.530000,4.650000,K,kentucky,1.0,12,2,5,-1,mfa_textgrid_phone
4.650000,4.810000,IY0,kentucky,1.0,12,2,6,-1,mfa_textgrid_phone
