start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.330000,0.420000,L,let's,1.0,0,0,0,-1,mfa_textgrid_phone
0.420000,0.490000,EH1,let's,1.0,0,0,1,-1,mfa_textgrid_phone
0.490000,0.580000,T,let's,1.0,0,0,2,-1,mfa_textgrid_phone
0.580000,0.650000,S,let's,1.0,0,0,3,-1,mfa_textgrid_phone
0.650000,0.770000,D,double,1.0,1,0,0,-1,mfa_textgrid_phone
0.770000,0.850000,AH1,double,1.0,1,0,1,-1,mfa_textgrid_phone
0.850000,0.930000,B,double,1.0,1,0,2,-1,mfa_textgrid_phone
0.930000,0.940000,AH0,double,1.0,1,0,3,-1,mfa_textgrid_phone
0.940000,1.060000,L,double,1.0,1,0,4,-1,mfa_textgrid_phone
1.060000,1.210000,CH,check,1.0,2,0,0,-1,mfa_textgrid_phone
1.210000,1.320000,EH1,check,1.0,2,0,1,-1,mfa_textgrid_phone
1.320000,1.460000,K,check,1.0,2,0,2,-1,mfa_textgrid_phone
1.500000,1.580000,T,to,1.0,3,0,0,-1,mfa_textgrid_phone
1.580000,1.630000,UW1,to,1.0,3,0,1,-1,mfa_textgrid_phone
1.630000,1.700000,IH0,ensure,1.0,4,0,0,-1,mfa_textgrid_phone
1.700000,1.750000,N,ensure,1.0,4,0,1,-1,mfa_textgrid_phone
1.750000,1.910000,SH,ensure,1.0,4,0,2,-1,mfa_textgrid_phone
1.910000,1.950000,UH1,ensure,1.0,4,0,3,-1,mfa_textgrid_phone
1.950000,2.140000,R,ensure,1.0,4,0,4,-1,mfa_textgrid_phone
2.180000,2.260000,EH1,everything,1.0,5,0,0,-1,mfa_textgrid_phone
2.260000,2.330000,V,everything,1.0,5,0,1,-1,mfa_textgrid_phone
2.330000,2.380000,R,everything,1.0,5,0,2,-1,mfa_textgrid_phone
2.380000,2.440000,IY0,everything,1.0,5,0,3,-1,mfa_textgrid_phone
2.440000,2.530000,TH,everything,1.0,5,0,4,-1,mfa_textgrid_phone
2.530000,2.590000,IH2,everything,1.0,5,0,5,-1,mfa_textgrid_phone
2.590000,2.670000,NG,everything,1.0,5,0,6,-1,mfa_textgrid_phone
2.670000,2.750000,IH1,is,1.0,6,0,0,-1,mfa_textgrid_phone
2.750000,2.810000,Z,is,1.0,6,0,1,-1,mfa_textgrid_phone
2.810000,2.870000,IH0,in,1.0,7,0,0,-1,mfa_textgrid_phone
2.870000,2.930000,N,in,1.0,7,0,1,-1,mfa_textgrid_phone
2.930000,3.010000,AO1,order,1.0,8,0,0,-1,mfa_textgrid_phone
3.010000,3.090000,R,order,1.0,8,0,1,-1,mfa_textgrid_phone
3.090000,3.130000,D,order,1.0,8,0,2,-1,mfa_textgrid_phone
3.130000,3.310000,ER0,order,1.0,8,0,3,-1,mfa_textgrid_phone
