word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,if,1,the,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,the,2,train,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,train,3,leaves,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
3,leaves,4,early,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
4,early,5,call,",",",",region_break,1,comma_with_lull,0.340000,0.340000,0.340000,0.340000,0,1
5,call,6,me,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
6,me,7,at,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
7,at,8,once,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
8,once,9,so,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
9,so,10,i,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
10,i,11,can,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
11,can,12,change,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
12,change,13,the,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
13,the,14,reservation,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
