start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.220000,0.260000,DH,the,1.0,0,0,0,-1,mfa_textgrid_phone
0.260000,0.310000,AH0,the,1.0,0,0,1,-1,mfa_textgrid_phone
0.310000,0.470000,S,soup,1.0,1,0,0,-1,mfa_textgrid_phone
0.470000,0.600000,UW1,soup,1.0,1,0,1,-1,mfa_textgrid_phone
0.600000,0.680000,P,soup,1.0,1,0,2,-1,mfa_textgrid_phone
0.680000,0.730000,W,was,1.0,2,0,0,-1,mfa_textgrid_phone
0.730000,0.770000,AH0,was,1.0,2,0,1,-1,mfa_textgrid_phone
0.770000,0.840000,Z,was,1.0,2,0,2,-1,mfa_textgrid_phone
0.840000,0.960000,W,warm,1.0,3,0,0,-1,mfa_textgrid_phone
0.960000,1.140000,AO1,warm,1.0,3,0,1,-1,mfa_textgrid_phone
1.140000,1.280000,R,warm,1.0,3,0,2,-1,mfa_textgrid_phone
1.280000,1.370000,M,warm,1.0,3,0,3,-1,mfa_textgrid_phone
1.400000,1.460000,AE1,and,1.0,4,0,0,-1,mfa_textgrid_phone
1.460000,1.530000,N,and,1.0,4,0,1,-1,mfa_textgrid_phone
1.530000,1.560000,D,and,1.0,4,0,2,-1,mfa_textgrid_phone
1.560000,1.570000,DH,the,1.0,5,0,0,-1,mfa_textgrid_phone
1.570000,1.610000,AH0,the,1.0,5,0,1,-1,mfa_textgrid_phone
1.610000,1.730000,B,bread,1.0,6,0,0,-1,mfa_textgrid_phone
1.730000,1.800000,R,bread,1.0,6,0,1,-1,mfa_textgrid_phone
1.800000,1.890000,EH1,bread,1.0,6,0,2,-1,mfa_textgrid_phone
1.890000,1.940000,D,bread,1.0,6,0,3,-1,mfa_textgrid_phone
1.940000,2.010000,W,was,1.0,7,0,0,-1,mfa_textgrid_phone
2.010000,2.050000,AH0,was,1.0,7,0,1,-1,mfa_textgrid_phone
2.050000,2.110000,Z,was,1.0,7,0,2,-1,mfa_textgrid_phone
2.110000,2.240000,F,fresh,1.0,8,0,0,-1,mfa_textgrid_phone
2.240000,2.330000,R,fresh,1.0,8,0,1,-1,mfa_textgrid_phone
2.330000,2.430000,EH1,fresh,1.0,8,0,2,-1,mfa_textgrid_phone
2.430000,2.620000,SH,fresh,1.0,8,0,3,-1,mfa_textgrid_phone
2.850000,2.940000,Y,yet,1.0,9,1,0,-1,mfa_textgrid_phone
2.940000,3.000000,EH1,yet,1.0,9,1,1,-1,mfa_textgrid_phone
3.000000,3.050000,T,yet,1.0,9,1,2,-1,mfa_textgrid_phone
3.050000,3.160000,N,nobody,1.0,10,1,0,-1,mfa_textgrid_phone
3.160000,3.280000,OW1,nobody,1.0,10,1,1,-1,mfa_textgrid_phone
3.280000,3.330000,B,nobody,1.0,10,1,2,-1,mfa_textgrid_phone
3.330000,3.360000,AH0,nobody,1.0,10,1,3,-1,mfa_textgrid_phone
3.360000,3.390000,D,nobody,1.0,10,1,4,-1,mfa_textgrid_phone
3.390000,3.460000,IY0,nobody,1.0,10,1,5,-1,mfa_textgrid_phone
3.460000,3.580000,T,touched,1.0,11,1,0,-1,mfa_textgrid_phone
3.580000,3.660000,AH1,touched,1.0,11,1,1,-1,mfa_textgrid_phone
3.660000,3.770000,CH,touched,1.0,11,1,2,-1,mfa_textgrid_phone
3.770000,3.800000,T,touched,1.0,11,1,3,-1,mfa_textgrid_phone
3.800000,3.830000,DH,the,1.0,12,1,0,-1,mfa_textgrid_phone
3.830000,3.870000,AH0,the,1.0,12,1,1,-1,mfa_textgrid_phone
3.870000,3.990000,S,salad,1.0,13,1,0,-1,mfa_textgrid_phone
3.990000,4.120000,AE1,salad,1.0,13,1,1,-1,mfa_textgrid_phone
4.120000,4.210000,L,salad,1.0,13,1,2,-1,mfa_textgrid_phone
4.210000,4.280000,AH0,salad,1.0,13,1,3,-1,mfa_textgrid_phone
4.280000,4.360000,D,salad,1.0,13,1,4,-1,mfa_textgrid_phone
