word_index,word,start,end,speech_region_index,sentence_index
0,the,0.220000,0.310000,0,-1
1,soup,0.310000,0.680000,0,-1
2,was,0.680000,0.840000,0,-1
3,warm,0.840000,1.370000,0,-1
4,and,1.400000,1.560000,0,-1
5,the,1.560000,1.610000,0,-1
6,bread,1.610000,1.940000,0,-1
7,was,1.940000,2.110000,0,-1
8,fresh,2.110000,2.620000,0,-1
9,yet,2.850000,3.050000,1,-1
10,nobody,3.050000,3.460000,1,-1
11,touched,3.460000,3.800000,1,-1
12,the,3.800000,3.870000,1,-1
13,salad,3.870000,4.360000,1,-1
