word_index,word,start,end,speech_region_index,sentence_index
0,the,0.480000,0.580000,0,-1
1,soup,0.580000,0.920000,0,-1
2,was,0.920000,1.090000,0,-1
3,warm,1.090000,1.550000,0,-1
4,and,1.790000,1.950000,1,-1
5,the,1.950000,2.000000,1,-1
6,bread,2.000000,2.330000,1,-1
7,was,2.330000,2.540000,1,-1
8,fresh,2.540000,3.060000,1,-1
9,yet,3.540000,3.740000,2,-1
10,nobody,3.740000,4.180000,2,-1
11,touched,4.180000,4.570000,2,-1
12,the,4.570000,4.650000,2,-1
13,salad,4.650000,5.220000,2,-1
