word_index,word,start,end,speech_region_index,sentence_index
0,the,0.460000,0.560000,0,-1
1,soup,0.560000,0.990000,0,-1
2,was,0.990000,1.180000,0,-1
3,warm,1.180000,1.820000,0,-1
4,and,2.260000,2.420000,1,-1
5,the,2.420000,2.470000,1,-1
6,bread,2.470000,2.850000,1,-1
7,was,2.850000,3.030000,1,-1
8,fresh,3.030000,3.690000,1,-1
9,yet,4.250000,4.490000,2,-1
10,nobody,4.490000,5.030000,2,-1
11,touched,5.030000,5.450000,2,-1
12,the,5.450000,5.530000,2,-1
13,salad,5.530000,6.056875,2,-1
